account_id,customer_id,branch_id,account_type,open_date,close_date,current_balance,interest_rate,overdraft_limit,status
ACC0000099,C000009,BR011,Business Checking,01-11-2016,,16435.61,0.12,4940.99,Active
ACC0000100,C000020,BR012,Checking,02-10-2018,14-06-2023,0,0.46,3975.1,Closed
ACC0000101,C000166,BR013,IRA,13-06-2022,,1615.09,2.27,0,Active
ACC0000102,C000348,BR020,Savings,21-12-2022,,3302.15,1.93,0,Active
ACC0000103,C000497,BR004,IRA,15-12-2023,14-12-2025,0,5,0,Closed
ACC0000104,C000044,BR036,Savings,30-11-2021,,11605.51,3.44,0,Active
ACC0000105,C000300,BR033,IRA,02-02-2016,14-12-2025,0,2.84,0,Closed
ACC0000106,C000330,BR003,Checking,01-12-2019,,1329.16,0.26,1394.22,Active
ACC0000107,C000295,BR012,IRA,16-07-2023,,34098.81,5.59,0,Active
ACC0000108,C000425,BR034,Business Checking,17-10-2018,14-12-2025,0,0.7,524.85,Closed
ACC0000109,C000091,BR002,Savings,03-10-2017,,5,3.05,0,Active
ACC0000110,C000319,BR027,Money Market,24-01-2022,,18306.69,2.12,0,Active
ACC0000111,C000073,BR007,Money Market,11-12-2021,,12119.99,4.4,0,Active
ACC0000112,C000168,BR039,Checking,30-05-2018,14-12-2025,0,0.25,4169.58,Closed
ACC0000113,C000357,BR036,IRA,03-06-2022,,41182.07,2.82,0,Active
ACC0000114,C000214,BR013,Certificate of Deposit,23-12-2023,14-12-2025,0,5.22,0,Closed
ACC0000115,C000276,BR001,Savings,27-02-2021,,5132.58,1.49,0,Active
ACC0000116,C000324,BR040,Business Checking,07-02-2019,,3785.22,0.63,3680.86,Active
ACC0000117,C000083,BR038,IRA,07-04-2022,,56663.46,2.76,0,Active
ACC0000118,C000428,BR008,Checking,04-11-2022,,240.12,0.4,3780.53,Active
ACC0000119,C000204,BR008,Savings,20-01-2023,14-12-2025,0,3.73,0,Closed
ACC0000120,C000173,BR035,Savings,25-04-2023,14-12-2025,0,3.47,0,Closed
ACC0000121,C000106,BR001,IRA,29-03-2020,,44404.57,2.15,0,Active
ACC0000122,C000221,BR040,IRA,22-03-2021,,55395.23,3.89,0,Active
ACC0000123,C000297,BR011,IRA,16-11-2020,,55102.68,4.26,0,Active
ACC0000124,C000038,BR016,IRA,31-07-2021,,30513.18,2.26,0,Active
ACC0000125,C000348,BR009,Business Checking,12-12-2022,,24711.62,0.88,3970.72,Active
ACC0000126,C000092,BR013,Certificate of Deposit,23-02-2020,14-12-2025,0,4.72,0,Closed
ACC0000127,C000226,BR033,Savings,18-01-2020,14-12-2025,0,3.85,0,Closed
ACC0000128,C000385,BR029,Savings,09-09-2014,,78.91,3.18,0,Active
ACC0000129,C000359,BR024,Money Market,12-12-2023,,33050.07,3.88,0,Active
ACC0000130,C000350,BR015,Business Checking,14-10-2016,,28777.21,0.74,833.2,Active
ACC0000131,C000321,BR013,Money Market,24-04-2018,22-04-2023,0,2.25,0,Closed
ACC0000132,C000213,BR019,Savings,28-12-2021,11-09-2023,0,2.84,0,Closed
ACC0000133,C000296,BR006,Business Checking,24-06-2014,14-12-2025,0,0.8,2113.1,Closed
ACC0000134,C000299,BR039,Savings,05-11-2011,,346.44,2.25,0,Active
ACC0000135,C000214,BR020,Money Market,23-12-2023,14-12-2025,0,4.62,0,Closed
ACC0000136,C000282,BR011,Checking,18-06-2021,,12004.73,0.32,1021.41,Active
ACC0000137,C000412,BR013,IRA,13-04-2022,,20344.47,5.1,0,Active
ACC0000138,C000180,BR031,Money Market,28-03-2023,14-12-2025,0,4.76,0,Closed
ACC0000139,C000205,BR014,Certificate of Deposit,20-01-2019,,26916.04,5.53,0,Active
ACC0000140,C000486,BR033,Savings,03-06-2015,,727.64,3.8,0,Active
ACC0000141,C000011,BR040,Checking,12-06-2023,14-12-2025,0,0.35,4383.97,Closed
ACC0000142,C000120,BR025,Certificate of Deposit,25-07-2021,,64030.55,3.42,0,Active
ACC0000143,C000484,BR021,Savings,14-08-2023,14-12-2025,0,3.6,0,Closed
ACC0000144,C000444,BR038,IRA,31-05-2018,,19347.26,3.81,0,Active
ACC0000145,C000076,BR004,Checking,24-11-2021,,13851.74,0.4,3304.84,Active
ACC0000146,C000132,BR037,Business Checking,07-05-2020,,55277.15,0.28,1989.04,Active
ACC0000147,C000345,BR015,Business Checking,10-10-2017,14-12-2025,0,0.18,786.01,Closed
ACC0000148,C000274,BR039,Certificate of Deposit,11-02-2018,,64621.4,5.39,0,Active
ACC0000149,C000228,BR031,Business Checking,13-03-2016,07-03-2023,0,0.75,1899.42,Closed
ACC0000150,C000011,BR034,Savings,12-06-2023,14-12-2025,0,1.14,0,Closed
ACC0000151,C000236,BR038,Savings,05-11-2022,,65.73,1.08,0,Active
ACC0000152,C000233,BR026,Certificate of Deposit,27-08-2022,,71196.87,3.6,0,Active
ACC0000153,C000052,BR019,Checking,29-06-2017,,4163.68,0.45,1963.32,Active
ACC0000154,C000406,BR021,Certificate of Deposit,03-11-2021,,30194.27,3.49,0,Active
ACC0000155,C000264,BR031,IRA,11-05-2020,,66373.42,4.1,0,Active
ACC0000156,C000077,BR001,Business Checking,02-02-2022,,40426.03,0.81,3783.23,Active
ACC0000157,C000147,BR013,Savings,04-10-2018,,1523.11,2.13,0,Active
ACC0000158,C000157,BR017,Savings,18-07-2018,,570.35,3.43,0,Active
ACC0000159,C000342,BR004,Money Market,21-11-2021,,27713.48,2.18,0,Active
ACC0000160,C000153,BR025,Business Checking,14-01-2017,11-04-2022,0,0.99,3369.01,Closed
ACC0000161,C000396,BR031,Business Checking,05-08-2011,14-12-2025,0,0.41,4492.46,Closed
ACC0000162,C000325,BR021,Money Market,10-03-2017,,16685.31,2.83,0,Active
ACC0000163,C000495,BR006,Savings,26-02-2022,,8737.54,3.96,0,Active
ACC0000164,C000387,BR036,Certificate of Deposit,21-12-2019,03-10-2022,0,3.49,0,Closed
ACC0000165,C000500,BR031,Money Market,28-12-2017,,22380.18,4.42,0,Active
ACC0000166,C000005,BR033,Certificate of Deposit,29-09-2022,14-12-2025,0,5.44,0,Closed
ACC0000167,C000037,BR040,Checking,17-10-2013,,6636.82,0.17,2624.97,Active
ACC0000168,C000089,BR031,Certificate of Deposit,29-07-2014,14-12-2025,0,5,0,Closed
ACC0000169,C000222,BR025,IRA,02-05-2019,,24092.21,3.76,0,Active
ACC0000170,C000057,BR024,IRA,01-05-2022,,9718.17,3.6,0,Active
ACC0000171,C000322,BR002,Checking,26-05-2019,,13839.58,0.19,1038.17,Active
ACC0000172,C000191,BR034,Savings,20-05-2017,14-12-2025,0,1.45,0,Closed
ACC0000173,C000468,BR021,IRA,23-07-2022,,26309.32,4.24,0,Active
ACC0000174,C000004,BR040,Savings,08-10-2021,,1313.53,2.78,0,Active
ACC0000175,C000178,BR031,Money Market,03-07-2023,21-04-2024,0,4.24,0,Closed
ACC0000176,C000344,BR027,Money Market,01-03-2019,,19321.94,2.55,0,Active
ACC0000177,C000464,BR004,Checking,28-12-2022,,42.26,0.05,3709.6,Active
ACC0000178,C000374,BR011,Savings,27-12-2022,,78.96,2.14,0,Active
ACC0000179,C000270,BR031,Checking,09-01-2018,,5,0.29,3923.53,Active
ACC0000180,C000142,BR004,Business Checking,07-11-2017,,5,0.37,3025.75,Active
ACC0000181,C000356,BR006,Checking,13-11-2022,,851.8,0.02,3969.35,Active
ACC0000182,C000202,BR025,Business Checking,25-08-2019,,34865.25,0.78,2722.08,Active
ACC0000183,C000141,BR017,Certificate of Deposit,17-05-2016,01-09-2024,0,4.57,0,Closed
ACC0000184,C000039,BR023,Savings,31-03-2023,,3217.7,3.91,0,Active
ACC0000185,C000093,BR015,Certificate of Deposit,27-08-2022,27-10-2022,0,4.08,0,Closed
ACC0000186,C000408,BR030,Business Checking,23-09-2017,,21336.43,0.34,2852.3,Active
ACC0000187,C000246,BR034,IRA,31-10-2021,14-12-2025,0,2.62,0,Closed
ACC0000188,C000278,BR016,Certificate of Deposit,27-01-2022,,36836.07,5.63,0,Active
ACC0000189,C000496,BR007,Money Market,02-03-2020,,38421.79,2.63,0,Active
ACC0000190,C000443,BR014,Checking,31-03-2018,,1850.22,0.23,2423.93,Active
ACC0000191,C000233,BR008,IRA,08-07-2019,,33097.02,2.73,0,Active
ACC0000192,C000153,BR015,Checking,03-05-2022,14-12-2025,0,0.27,614.39,Closed
ACC0000193,C000082,BR014,IRA,26-06-2022,,60571.6,5.45,0,Active
ACC0000194,C000413,BR030,Certificate of Deposit,24-01-2017,,50402.21,4.18,0,Active
ACC0000195,C000011,BR020,Checking,12-06-2023,14-12-2025,0,0.14,985.51,Closed
ACC0000196,C000200,BR019,Money Market,23-10-2022,,30466.49,3.11,0,Active
ACC0000197,C000219,BR026,Money Market,01-08-2022,14-12-2025,0,3.45,0,Closed
ACC0000198,C000310,BR010,Money Market,24-06-2023,14-12-2025,0,3.85,0,Closed
ACC0000199,C000146,BR029,Certificate of Deposit,27-08-2020,,68131.75,5.45,0,Active
ACC0000200,C000234,BR001,IRA,29-08-2016,,43592.82,5.78,0,Active
ACC0000201,C000305,BR030,Checking,17-11-2022,,2123.21,0.3,641.43,Active
ACC0000202,C000240,BR019,Money Market,08-12-2014,14-12-2025,0,3.11,0,Closed
ACC0000203,C000116,BR019,IRA,31-07-2019,14-12-2025,0,3.49,0,Closed
ACC0000204,C000427,BR020,Money Market,23-12-2023,26-07-2025,0,3.39,0,Closed
ACC0000205,C000064,BR032,IRA,15-02-2021,,1544.02,3.08,0,Active
ACC0000206,C000009,BR010,Money Market,08-08-2020,,13333.18,4.24,0,Active
ACC0000207,C000106,BR036,Money Market,08-10-2019,,36660.09,2.11,0,Active
ACC0000208,C000127,BR026,Checking,16-09-2014,04-11-2023,0,0.02,3363.85,Closed
ACC0000209,C000194,BR011,Business Checking,12-10-2023,28-04-2024,0,0.93,1914.6,Closed
ACC0000210,C000086,BR025,Certificate of Deposit,09-06-2022,,88390.83,4.32,0,Active
ACC0000211,C000194,BR014,Certificate of Deposit,12-10-2023,,37026.75,4.13,0,Active
ACC0000212,C000398,BR030,Business Checking,03-01-2018,14-12-2025,0,0.86,2788.57,Closed
ACC0000213,C000001,BR036,Money Market,20-06-2022,,1143.42,2.76,0,Active
ACC0000214,C000292,BR031,Savings,20-10-2012,,15722.36,3.53,0,Active
ACC0000215,C000493,BR018,Checking,25-11-2018,,5,0.02,4584.05,Active
ACC0000216,C000424,BR036,Checking,30-09-2022,,11964.13,0.41,1621.82,Active
ACC0000217,C000397,BR030,Savings,16-11-2022,,22380.37,3.51,0,Active
ACC0000218,C000229,BR027,Checking,24-12-2022,,10105.92,0.18,2346.72,Active
ACC0000219,C000056,BR005,IRA,28-11-2021,,39057.78,4.58,0,Active
ACC0000220,C000493,BR014,IRA,10-08-2014,,73127.81,3.63,0,Active
ACC0000221,C000298,BR008,Money Market,28-02-2019,14-12-2025,0,4.14,0,Closed
ACC0000222,C000113,BR022,Checking,14-04-2015,14-12-2025,0,0.06,3899.98,Closed
ACC0000223,C000198,BR006,Certificate of Deposit,06-12-2022,14-12-2025,0,4.39,0,Closed
ACC0000224,C000448,BR028,Checking,08-03-2020,,276.51,0.26,1529.59,Active
ACC0000225,C000050,BR011,IRA,28-12-2022,,7151.49,2.1,0,Active
ACC0000226,C000390,BR009,IRA,17-02-2018,,926.69,2.62,0,Active
ACC0000227,C000259,BR034,IRA,29-01-2018,,52105.68,4.86,0,Active
ACC0000228,C000272,BR020,Checking,20-06-2022,,1150.44,0.38,846.41,Active
ACC0000229,C000100,BR040,Savings,05-09-2018,14-12-2025,0,2.41,0,Closed
ACC0000230,C000487,BR008,Business Checking,04-09-2018,08-04-2024,0,0.43,1803.88,Closed
ACC0000231,C000068,BR023,Checking,16-02-2022,,4134.47,0.11,1225.5,Active
ACC0000232,C000114,BR027,Business Checking,03-09-2022,,11057.48,0.75,4683.64,Active
ACC0000233,C000070,BR035,Certificate of Deposit,04-10-2022,,53834.26,3.9,0,Active
ACC0000234,C000352,BR004,Money Market,29-10-2022,,21.86,4.69,0,Active
ACC0000235,C000175,BR019,Certificate of Deposit,25-08-2022,24-10-2024,0,5.24,0,Closed
ACC0000236,C000326,BR017,Checking,18-05-2019,,1140.88,0.31,4136.54,Active
ACC0000237,C000363,BR023,Business Checking,30-11-2019,,66213.07,0.75,3350.32,Active
ACC0000238,C000313,BR033,Certificate of Deposit,06-11-2015,14-12-2025,0,4.51,0,Closed
ACC0000239,C000321,BR009,Savings,21-05-2018,,1012.89,2.24,0,Active
ACC0000240,C000467,BR001,IRA,19-03-2020,14-12-2025,0,4.64,0,Closed
ACC0000241,C000306,BR008,Checking,01-03-2019,11-12-2022,0,0.04,4421.57,Closed
ACC0000242,C000370,BR032,Checking,04-12-2021,14-12-2025,0,0.03,4116.52,Closed
ACC0000243,C000028,BR018,Money Market,29-11-2023,,2788.24,3.54,0,Active
ACC0000244,C000459,BR023,IRA,08-03-2021,,11571.25,2.11,0,Active
ACC0000245,C000345,BR006,Checking,08-11-2021,19-08-2022,0,0.27,1339.57,Closed
ACC0000246,C000377,BR034,Savings,05-11-2020,,7382.09,1.82,0,Active
ACC0000247,C000433,BR022,Business Checking,08-02-2022,,41766.65,0.1,4516.52,Active
ACC0000248,C000400,BR008,Money Market,30-12-2020,,4032.62,3.6,0,Active
ACC0000249,C000421,BR026,Checking,07-12-2022,,427.95,0.27,2927.04,Active
ACC0000250,C000147,BR005,Business Checking,04-04-2016,,26285.72,0.9,4133.48,Active
ACC0000251,C000449,BR001,Business Checking,02-06-2021,,23558.02,0.51,4532.41,Active
ACC0000252,C000450,BR019,Checking,21-11-2018,,3514.53,0.32,1931.02,Active
ACC0000253,C000456,BR015,IRA,19-08-2013,,71822.32,2.89,0,Active
ACC0000254,C000258,BR033,Business Checking,11-07-2020,14-12-2025,0,0.83,995.23,Closed
ACC0000255,C000099,BR035,Money Market,27-09-2013,,2703.89,2.32,0,Active
ACC0000256,C000324,BR021,Money Market,09-09-2021,29-07-2023,0,3.34,0,Closed
ACC0000257,C000357,BR015,Savings,28-12-2018,,128.51,1.17,0,Active
ACC0000258,C000025,BR021,IRA,29-04-2019,,20137.09,2.92,0,Active
ACC0000259,C000038,BR040,Savings,18-03-2022,,24730.95,3.59,0,Active
ACC0000260,C000092,BR015,Savings,16-09-2021,07-04-2024,0,3.44,0,Closed
ACC0000261,C000294,BR040,Certificate of Deposit,22-02-2021,,10608.48,3.7,0,Active
ACC0000262,C000268,BR021,Checking,18-05-2016,,0,0.36,1525.71,Active
ACC0000263,C000391,BR032,Business Checking,12-06-2023,,495.6,0.32,2421.99,Active
ACC0000264,C000454,BR019,Certificate of Deposit,03-06-2019,,45565.63,5.7,0,Active
ACC0000265,C000008,BR033,IRA,24-06-2020,14-12-2025,0,4.69,0,Closed
ACC0000266,C000145,BR004,IRA,21-06-2023,,50805.99,2.08,0,Active
ACC0000267,C000286,BR013,IRA,23-12-2023,,15576.1,2.42,0,Active
ACC0000268,C000205,BR004,IRA,23-08-2019,,45889.69,5.2,0,Active
ACC0000269,C000500,BR011,Certificate of Deposit,23-03-2022,,789.84,4.15,0,Active
ACC0000270,C000162,BR036,Money Market,14-08-2022,,31751.88,3.6,0,Active
ACC0000271,C000040,BR029,IRA,25-03-2012,14-12-2025,0,2.71,0,Closed
ACC0000272,C000219,BR028,IRA,11-05-2022,14-12-2025,0,4.61,0,Closed
ACC0000273,C000226,BR035,Money Market,24-08-2020,14-12-2025,0,2.73,0,Closed
ACC0000274,C000275,BR017,Checking,07-02-2017,,4523.13,0.49,4181.07,Active
ACC0000275,C000406,BR032,Certificate of Deposit,12-08-2021,,68089.28,4.63,0,Active
ACC0000276,C000198,BR035,Business Checking,18-12-2021,14-12-2025,0,0.9,4373.29,Closed
ACC0000277,C000250,BR034,Savings,01-08-2023,,22113.86,4,0,Active
ACC0000278,C000209,BR027,Savings,20-10-2022,,19457.8,3.99,0,Active
ACC0000279,C000156,BR027,Savings,12-07-2020,14-12-2025,0,2.67,0,Closed
ACC0000280,C000026,BR040,Money Market,19-12-2022,14-12-2025,0,2.81,0,Closed
ACC0000281,C000182,BR017,Savings,13-02-2017,30-06-2022,0,3.31,0,Closed
ACC0000282,C000482,BR020,Savings,29-12-2021,,5,3.83,0,Active
ACC0000283,C000500,BR030,IRA,07-01-2017,,18462.57,2.95,0,Active
ACC0000284,C000455,BR027,IRA,30-09-2022,28-08-2024,0,2.4,0,Closed
ACC0000285,C000339,BR034,Business Checking,13-10-2017,,42994.17,0.39,531.28,Active
ACC0000286,C000060,BR037,Savings,21-01-2013,,5,3.55,0,Active
ACC0000287,C000084,BR025,Checking,10-09-2022,14-12-2025,0,0.26,2798.36,Closed
ACC0000288,C000155,BR002,Certificate of Deposit,15-07-2015,26-02-2022,0,5.72,0,Closed
ACC0000289,C000213,BR005,Money Market,30-05-2021,14-12-2025,0,3.13,0,Closed
ACC0000290,C000116,BR036,IRA,13-03-2019,14-12-2025,0,2.97,0,Closed
ACC0000291,C000394,BR020,Money Market,10-07-2017,,802.28,2.06,0,Active
ACC0000292,C000146,BR004,Certificate of Deposit,14-04-2019,,8010.76,4.87,0,Active
ACC0000293,C000203,BR020,Business Checking,23-12-2023,,39990.42,0.01,2378.35,Active
ACC0000294,C000027,BR028,Business Checking,09-09-2018,14-12-2025,0,0.91,1499.49,Closed
ACC0000295,C000303,BR029,Savings,25-06-2016,,13536.04,1.74,0,Active
ACC0000296,C000312,BR027,IRA,19-03-2020,,32298.85,4.89,0,Active
ACC0000297,C000048,BR007,Savings,07-06-2015,14-12-2025,0,2.35,0,Closed
ACC0000298,C000069,BR016,Money Market,01-01-2021,,11919.56,2.97,0,Active
ACC0000299,C000345,BR037,Business Checking,07-02-2020,14-12-2025,0,0.09,1039.39,Closed
ACC0000300,C000264,BR017,Business Checking,25-03-2016,,21708.76,0.32,2019.27,Active
ACC0000301,C000024,BR038,IRA,26-11-2020,,109.1,5.42,0,Active
ACC0000302,C000238,BR037,Business Checking,19-12-2020,,66181.97,0.95,4743.09,Active
ACC0000303,C000262,BR035,Certificate of Deposit,27-10-2023,,10027.03,3.35,0,Active
ACC0000304,C000405,BR005,Certificate of Deposit,17-12-2022,14-12-2025,0,5.82,0,Closed
ACC0000305,C000196,BR028,IRA,13-12-2021,,9903.99,5.32,0,Active
ACC0000306,C000472,BR001,Savings,27-09-2020,29-12-2023,0,1.39,0,Closed
ACC0000307,C000271,BR011,Checking,22-11-2017,14-12-2025,0,0.16,1954.41,Closed
ACC0000308,C000491,BR015,IRA,02-02-2022,,41890.15,3.59,0,Active
ACC0000309,C000052,BR002,Certificate of Deposit,28-06-2018,,11791.63,4.88,0,Active
ACC0000310,C000105,BR038,Business Checking,25-07-2020,,31726.68,0.95,2834.56,Active
ACC0000311,C000240,BR037,IRA,24-10-2021,14-12-2025,0,4.67,0,Closed
ACC0000312,C000446,BR019,Savings,23-12-2023,,2740.65,3.86,0,Active
ACC0000313,C000472,BR022,Checking,30-08-2016,,270.51,0.4,3663.59,Active
ACC0000314,C000031,BR038,Savings,02-09-2016,,5839.17,2.82,0,Active
