loan_id,customer_id,branch_id,loan_type,principal_amount,interest_rate,tenure_months,disbursement_date,maturity_date,emi_amount,outstanding_balance,loan_status,purpose
L000028,C000304,BR031,Business,44021.52,18.42,48,2021-10-21,2025-10-21,1302.81,0.0,Closed,Business Expansion
L000029,C000096,BR021,Credit Builder,380144.17,15.69,240,2023-07-17,2043-07-17,5200.56,0.0,Closed,Personal
L000030,C000148,BR017,Education,175716.2,12.88,360,2023-04-23,2053-04-23,1927.3,0.0,Closed,Education
L000031,C000446,BR032,Credit Builder,358620.32,4.52,180,2023-12-23,2038-12-23,2747.09,349663.06,In Arrears,Debt Consolidation
L000032,C000386,BR005,Credit Builder,149362.75,10.81,60,2020-11-08,2025-11-08,3233.37,144851.4,In Arrears,Personal
L000033,C000246,BR039,Credit Builder,129777.11,8.25,240,2020-07-31,2040-07-31,1105.79,128414.56,Defaulted,Debt Consolidation
L000034,C000350,BR014,Credit Builder,493696.15,9.7,48,2023-09-24,2027-09-24,12450.4,470735.37,In Arrears,Debt Consolidation
L000035,C000164,BR037,Education,9669.31,12.51,360,2021-12-02,2051-12-02,103.27,9535.95,Defaulted,Education
L000036,C000198,BR023,Auto,359554.34,16.86,360,2022-09-26,2052-09-26,5085.23,353348.24,Defaulted,Vehicle
L000037,C000204,BR007,Credit Builder,345561.1,5.41,48,2023-05-23,2027-05-23,8022.37,335556.01,Defaulted,Personal
L000038,C000284,BR028,Business,222075.52,3.99,36,2020-11-12,2023-11-12,6555.57,208319.73,Defaulted,Business Expansion
L000039,C000154,BR024,Education,397342.1,16.87,360,2020-07-29,2050-07-29,5622.89,0.0,Closed,Education
L000040,C000435,BR022,Education,158832.84,8.81,240,2022-09-25,2042-09-25,1409.71,151191.98,Active,Education
L000041,C000446,BR032,Home,219880.86,5.09,36,2023-12-23,2026-12-23,6598.92,210985.97,In Arrears,Home Purchase
L000042,C000143,BR026,Home,138906.75,8.96,240,2020-05-21,2040-05-21,1246.21,133943.38,Defaulted,Home Purchase
L000043,C000420,BR038,Auto,101315.89,10.38,24,2020-12-30,2022-12-30,4693.0,0.0,Closed,Vehicle
L000044,C000157,BR024,Business,342894.72,18.06,240,2021-12-03,2041-12-03,5307.77,336153.19,Active,Business Expansion
L000045,C000496,BR011,Auto,32284.19,5.96,360,2023-02-22,2053-02-22,192.73,0.0,Closed,Vehicle
L000046,C000477,BR004,Business,28858.51,13.95,36,2023-06-22,2026-06-22,985.61,26532.16,Defaulted,Business Expansion
L000047,C000250,BR040,Business,196087.24,16.14,120,2023-08-01,2033-08-01,3301.85,194187.23,Active,Business Expansion
L000048,C000265,BR020,Credit Builder,389208.94,14.17,180,2023-01-25,2038-01-25,5227.79,372959.28,Defaulted,Debt Consolidation
L000049,C000397,BR039,Auto,499794.5,6.54,12,2021-06-03,2022-06-03,43139.68,338514.9,Defaulted,Vehicle
L000050,C000154,BR034,Education,13528.16,13.55,60,2021-04-21,2026-04-21,311.63,13321.88,Defaulted,Education
L000051,C000183,BR031,Credit Builder,136284.49,11.61,180,2021-08-04,2036-08-04,1601.6,133074.22,Active,Debt Consolidation
L000052,C000466,BR024,Credit Builder,282329.4,9.01,36,2022-03-23,2025-03-23,8979.31,259878.59,Defaulted,Personal
L000053,C000178,BR018,Credit Builder,147223.25,4.24,120,2023-07-03,2033-07-03,1507.41,144588.11,Active,Debt Consolidation
L000054,C000336,BR031,Education,396754.27,6.62,360,2023-08-07,2053-08-07,2539.15,386981.34,Active,Education
L000055,C000480,BR026,Education,76980.37,17.68,84,2023-03-16,2030-03-16,1603.55,69954.65,In Arrears,Education
L000056,C000243,BR034,Business,359207.47,10.73,84,2023-07-25,2030-07-25,6099.63,347837.56,Active,Business Expansion
L000057,C000323,BR024,Credit Builder,102482.51,9.46,240,2023-09-08,2043-09-08,952.6,102482.51,Defaulted,Debt Consolidation
L000058,C000446,BR040,Business,24929.13,10.39,36,2023-12-23,2026-12-23,808.97,0.0,Closed,Business Expansion
L000059,C000092,BR015,Home,224004.41,7.74,180,2023-03-18,2038-03-18,2107.22,214249.78,In Arrears,Home Purchase
L000060,C000326,BR004,Education,164504.49,7.89,36,2023-04-24,2026-04-24,5146.63,0.0,Closed,Education
L000061,C000242,BR035,Business,476897.42,14.6,48,2023-09-15,2027-09-15,13175.92,436822.94,Defaulted,Business Expansion
L000062,C000135,BR005,Business,92311.25,14.52,240,2022-01-03,2042-01-03,1182.93,89432.69,Active,Business Expansion
L000063,C000129,BR013,Education,184255.5,11.74,72,2020-08-03,2026-08-03,3577.37,169200.51,Active,Education
L000064,C000154,BR010,Home,275904.25,13.5,120,2023-06-27,2033-06-27,4201.31,265313.05,Active,Home Purchase
L000065,C000238,BR016,Auto,210518.73,8.17,12,2022-09-26,2023-09-26,18329.24,188741.27,In Arrears,Vehicle
L000066,C000251,BR016,Education,26337.82,10.12,120,2023-08-09,2033-08-09,349.81,26149.89,Defaulted,Education
L000067,C000328,BR030,Auto,296014.36,10.24,60,2023-03-04,2028-03-04,6324.44,291393.78,Defaulted,Vehicle
L000068,C000351,BR017,Business,169425.5,4.06,360,2021-09-01,2051-09-01,814.73,167487.38,Active,Business Expansion
L000069,C000474,BR010,Business,382435.26,3.8,48,2023-01-03,2027-01-03,8600.84,367503.27,Active,Business Expansion
L000070,C000310,BR034,Business,302937.29,3.87,360,2023-06-26,2053-06-26,1423.66,300875.12,Defaulted,Business Expansion
L000071,C000022,BR032,Education,484256.02,8.5,72,2020-08-06,2026-08-06,8609.29,450936.98,Active,Education
L000072,C000192,BR006,Auto,44734.45,8.67,72,2020-09-22,2026-09-22,799.06,42801.9,Active,Vehicle
L000073,C000445,BR022,Education,96086.41,9.37,240,2023-12-23,2043-12-23,887.51,95423.71,Active,Education
L000074,C000462,BR023,Auto,311841.76,17.03,240,2021-11-11,2041-11-11,4581.21,297483.97,Active,Vehicle
L000075,C000110,BR035,Auto,105962.39,5.51,36,2022-10-25,2025-10-25,3200.11,99629.22,Defaulted,Vehicle
L000076,C000071,BR024,Auto,175457.28,18.03,36,2022-08-03,2025-08-03,6345.84,0.0,Closed,Vehicle
L000077,C000446,BR031,Business,284574.68,11.01,360,2023-12-23,2053-12-23,2712.22,279544.88,In Arrears,Business Expansion
L000078,C000462,BR035,Auto,181899.6,9.54,240,2023-10-24,2043-10-24,1700.3,0.0,Closed,Vehicle
L000079,C000023,BR032,Business,270434.69,8.07,360,2022-10-30,2052-10-30,1997.57,262983.93,In Arrears,Business Expansion
L000080,C000470,BR029,Business,259492.62,13.58,180,2023-11-24,2038-11-24,3382.86,257305.61,In Arrears,Business Expansion
L000081,C000038,BR031,Credit Builder,90978.14,17.21,72,2020-09-15,2026-09-15,2034.59,64529.89,Active,Debt Consolidation
L000082,C000137,BR015,Auto,131387.84,14.06,48,2022-02-17,2026-02-17,3594.32,114764.77,Active,Vehicle
L000083,C000197,BR034,Credit Builder,219605.97,14.85,72,2020-06-22,2026-06-22,4625.7,181394.33,Active,Debt Consolidation
L000084,C000429,BR019,Personal,254324.08,11.5,60,2020-03-09,2025-03-09,5593.25,246984.34,Defaulted,Debt Consolidation
L000085,C000019,BR006,Personal,178662.96,12.85,36,2023-04-27,2026-04-27,6006.96,152417.44,Active,Personal
L000086,C000357,BR015,Auto,313324.77,15.07,84,2022-07-11,2029-07-11,6058.46,0.0,Closed,Vehicle
L000087,C000035,BR005,Business,143353.64,15.46,120,2023-12-23,2033-12-23,2353.34,141868.9,In Arrears,Business Expansion
L000088,C000012,BR038,Business,222332.71,16.79,84,2022-10-10,2029-10-10,4516.61,210509.84,Defaulted,Business Expansion
L000089,C000396,BR012,Personal,101595.89,18.27,48,2021-12-04,2025-12-04,2998.73,92041.73,In Arrears,Debt Consolidation
L000090,C000499,BR035,Credit Builder,165782.34,7.87,240,2023-11-16,2043-11-16,1373.29,162325.02,Defaulted,Personal
L000091,C000385,BR026,Auto,34811.91,4.49,240,2021-07-06,2041-07-06,220.05,0.0,Closed,Vehicle
L000092,C000280,BR025,Home,176109.52,7.33,120,2021-05-19,2031-05-19,2074.86,0.0,Closed,Home Purchase
L000093,C000345,BR025,Credit Builder,129656.77,13.34,12,2020-06-11,2021-06-11,11601.28,92594.91,In Arrears,Debt Consolidation
L000094,C000423,BR034,Personal,237198.76,12.69,180,2023-05-18,2038-05-18,2952.92,227238.42,In Arrears,Personal
L000095,C000500,BR023,Home,30684.37,10.62,84,2023-03-05,2030-03-05,519.28,29256.14,Defaulted,Home Purchase
L000096,C000257,BR021,Education,418768.01,7.97,12,2023-06-06,2024-06-06,36422.16,370938.66,Defaulted,Education
L000097,C000190,BR033,Credit Builder,103951.02,11.52,24,2020-07-09,2022-07-09,4870.07,0.0,Closed,Debt Consolidation
L000098,C000434,BR017,Auto,51690.91,13.75,48,2021-05-19,2025-05-19,1406.06,0.0,Closed,Vehicle
L000099,C000012,BR015,Education,256556.41,5.6,360,2020-04-20,2050-04-20,1472.84,0.0,Closed,Education
L000100,C000397,BR017,Education,399256.6,14.55,240,2021-11-26,2041-11-26,5125.11,386563.14,Defaulted,Education
L000101,C000363,BR039,Personal,272122.15,13.93,360,2023-04-20,2053-04-20,3209.23,266427.2,Active,Debt Consolidation
L000102,C000254,BR002,Education,429366.91,18.29,48,2023-03-05,2027-03-05,12677.81,420209.59,In Arrears,Education
L000103,C000398,BR039,Home,177207.78,8.41,180,2020-06-07,2035-06-07,1735.7,175044.21,Active,Home Purchase
L000104,C000057,BR039,Auto,42671.2,8.0,120,2023-02-07,2033-02-07,517.72,41683.43,Defaulted,Vehicle
L000105,C000380,BR027,Education,143664.26,8.38,180,2023-09-06,2038-09-06,1404.63,0.0,Closed,Education
L000106,C000491,BR027,Auto,361638.57,10.68,240,2023-09-25,2043-09-25,3654.36,0.0,Closed,Vehicle
L000107,C000452,BR003,Credit Builder,421925.04,9.25,12,2023-03-22,2024-03-22,36946.9,276758.67,Defaulted,Debt Consolidation
L000108,C000463,BR039,Personal,90567.67,13.38,60,2023-05-26,2028-05-26,2078.35,0.0,Closed,Personal
L000109,C000303,BR016,Personal,315234.52,13.48,60,2021-06-25,2026-06-25,7250.25,296890.31,Active,Debt Consolidation
L000110,C000107,BR038,Business,321533.93,11.44,72,2020-10-23,2026-10-23,6192.81,271732.89,Active,Business Expansion
L000111,C000249,BR006,Auto,154814.11,13.63,180,2022-03-10,2037-03-10,2023.38,152106.71,In Arrears,Vehicle
L000112,C000180,BR020,Personal,461274.34,8.94,120,2023-06-02,2033-06-02,5828.26,449416.37,Defaulted,Personal
L000113,C000214,BR023,Credit Builder,335965.71,17.67,12,2023-12-23,2024-12-23,30748.59,0.0,Closed,Personal
L000114,C000385,BR018,Personal,129009.72,16.32,360,2022-11-05,2052-11-05,1768.2,125759.85,Defaulted,Personal
L000115,C000119,BR034,Personal,385112.74,11.44,180,2022-06-19,2037-06-19,4484.17,378689.88,In Arrears,Personal
L000116,C000079,BR007,Credit Builder,95204.49,15.19,60,2023-12-08,2028-12-08,2274.41,0.0,Closed,Debt Consolidation
L000117,C000182,BR030,Credit Builder,37778.67,8.3,240,2020-05-20,2040-05-20,323.09,36580.13,Active,Debt Consolidation
L000118,C000403,BR033,Auto,281263.91,10.36,240,2022-08-04,2042-08-04,2781.68,274831.88,In Arrears,Vehicle
L000119,C000113,BR038,Education,347503.01,5.99,36,2022-07-19,2025-07-19,10570.14,319517.46,Defaulted,Education
L000120,C000308,BR007,Credit Builder,265168.86,3.99,84,2023-01-30,2030-01-30,3623.32,262809.72,Active,Debt Consolidation
L000121,C000230,BR033,Credit Builder,370694.85,15.66,240,2022-05-25,2042-05-25,5062.99,355712.09,Active,Personal
L000122,C000495,BR038,Business,313048.14,11.97,120,2021-06-07,2031-06-07,4485.9,298880.29,Defaulted,Business Expansion
L000123,C000469,BR032,Education,317423.84,13.09,60,2023-04-13,2028-04-13,7237.0,317423.84,Defaulted,Education
L000124,C000257,BR027,Education,461688.17,17.54,12,2020-12-24,2021-12-24,42226.56,0.0,Closed,Education
L000125,C000307,BR011,Credit Builder,278148.76,7.09,360,2021-03-20,2051-03-20,1867.37,0.0,Closed,Personal
L000126,C000228,BR008,Education,126980.3,11.97,120,2021-06-29,2031-06-29,1819.6,123415.83,Active,Education
L000127,C000087,BR010,Business,466383.49,15.11,36,2021-06-04,2024-06-04,16192.47,428121.33,Defaulted,Business Expansion
L000128,C000034,BR031,Business,218305.57,17.54,240,2023-08-24,2043-08-24,3292.06,211517.99,Active,Business Expansion
L000129,C000254,BR010,Business,7300.53,6.01,84,2023-05-27,2030-05-27,106.69,6972.92,Defaulted,Business Expansion
L000130,C000363,BR023,Home,333856.97,17.65,180,2021-01-09,2036-01-09,5292.65,320864.33,In Arrears,Home Purchase
L000131,C000493,BR001,Auto,212272.04,5.04,36,2023-10-10,2026-10-10,6365.8,175504.66,In Arrears,Vehicle
L000132,C000425,BR036,Home,441899.21,4.15,84,2020-05-30,2027-05-30,6070.79,429785.58,In Arrears,Home Purchase
L000133,C000274,BR032,Home,459348.34,15.99,360,2021-01-01,2051-01-01,6173.42,446378.17,In Arrears,Home Purchase
L000134,C000331,BR036,Auto,117965.95,6.84,48,2023-05-09,2027-05-09,2816.09,105123.95,In Arrears,Vehicle
L000135,C000309,BR036,Business,44673.92,15.55,12,2020-07-17,2021-07-17,4043.8,0.0,Closed,Business Expansion
L000136,C000369,BR033,Education,287994.65,15.15,12,2020-12-17,2021-12-17,26014.3,238141.64,In Arrears,Education
L000137,C000402,BR005,Credit Builder,64840.97,4.82,48,2021-04-20,2025-04-20,1487.96,61875.47,In Arrears,Debt Consolidation
L000138,C000195,BR040,Home,52398.75,17.0,48,2021-12-19,2025-12-19,1511.97,50514.64,Active,Home Purchase
L000139,C000222,BR029,Home,380180.4,13.06,12,2023-04-16,2024-04-16,33967.38,0.0,Closed,Home Purchase
L000140,C000423,BR001,Education,471077.46,4.92,24,2022-08-22,2024-08-22,20649.95,415498.86,Defaulted,Education
L000141,C000470,BR026,Business,73990.31,8.56,60,2023-11-24,2028-11-24,1520.17,70124.84,Defaulted,Business Expansion
L000142,C000125,BR038,Personal,459363.07,9.23,120,2022-04-16,2032-04-16,5876.35,444067.42,In Arrears,Personal
L000143,C000454,BR032,Personal,417702.07,16.79,12,2023-06-11,2024-06-11,38054.8,0.0,Closed,Personal
L000144,C000235,BR027,Personal,139905.65,8.55,60,2021-03-01,2026-03-01,2873.75,129182.39,Defaulted,Personal
L000145,C000079,BR013,Credit Builder,441983.79,10.62,84,2021-11-02,2028-11-02,7479.82,432658.47,In Arrears,Debt Consolidation
L000146,C000362,BR007,Education,265495.36,17.38,24,2023-05-31,2025-05-31,13175.22,257362.99,Defaulted,Education
L000147,C000228,BR039,Credit Builder,458781.36,7.83,84,2022-01-14,2029-01-14,7111.87,449638.55,Defaulted,Personal
L000148,C000008,BR040,Education,187822.19,5.91,12,2022-06-12,2023-06-12,16157.42,0.0,Closed,Education
L000149,C000067,BR028,Education,169296.96,15.78,72,2020-08-02,2026-08-02,3651.89,160841.51,Active,Education
L000150,C000189,BR028,Home,312173.25,12.06,240,2023-11-11,2043-11-11,3450.36,299420.15,Defaulted,Home Purchase
L000151,C000239,BR035,Home,267905.06,18.22,36,2023-06-23,2026-06-23,9715.0,0.0,Closed,Home Purchase
L000152,C000471,BR016,Business,128067.51,10.65,120,2022-04-09,2032-04-09,1738.85,123989.2,Active,Business Expansion
L000153,C000478,BR007,Personal,117005.95,4.33,120,2023-06-16,2033-06-16,1203.07,111284.77,Defaulted,Personal
L000154,C000399,BR012,Education,230828.08,4.78,36,2023-05-02,2026-05-02,6895.35,218096.73,In Arrears,Education
L000155,C000121,BR040,Education,402816.77,9.97,24,2023-12-23,2025-12-23,18582.37,353973.46,Active,Education
L000156,C000348,BR023,Auto,414092.0,9.36,60,2023-01-29,2028-01-29,8668.4,0.0,Closed,Vehicle
L000157,C000029,BR010,Auto,377099.97,6.05,180,2021-06-30,2036-06-30,3192.38,0.0,Closed,Vehicle
L000158,C000264,BR030,Business,268257.43,16.92,72,2020-06-13,2026-06-13,5955.72,241250.57,Active,Business Expansion
L000159,C000417,BR001,Personal,79829.42,9.16,84,2023-10-20,2030-10-20,1290.87,77263.94,In Arrears,Personal
L000160,C000326,BR033,Auto,304868.52,5.53,36,2023-02-10,2026-02-10,9209.91,292110.33,In Arrears,Vehicle
L000161,C000082,BR023,Personal,117793.82,9.33,60,2022-09-14,2027-09-14,2464.11,0.0,Closed,Personal
L000162,C000004,BR035,Home,141937.57,3.88,60,2022-07-05,2027-07-05,2606.32,135461.01,Defaulted,Home Purchase
L000163,C000048,BR038,Auto,484137.79,15.0,240,2020-01-24,2040-01-24,6375.08,466505.87,Active,Vehicle
L000164,C000026,BR008,Auto,185204.88,3.68,120,2022-03-01,2032-03-01,1847.07,179058.47,Defaulted,Vehicle
L000165,C000109,BR009,Home,398840.37,5.19,48,2023-07-29,2027-07-29,9219.38,385979.59,Defaulted,Home Purchase
L000166,C000255,BR038,Home,370335.98,4.09,240,2023-03-27,2043-03-27,2261.76,363125.99,In Arrears,Home Purchase
L000167,C000282,BR009,Credit Builder,160131.01,13.86,48,2021-05-27,2025-05-27,4364.58,154445.01,In Arrears,Debt Consolidation
L000168,C000468,BR024,Auto,421056.37,8.42,120,2023-04-29,2033-04-29,5202.5,404354.56,Defaulted,Vehicle
L000169,C000164,BR035,Business,56843.11,16.39,60,2021-11-13,2026-11-13,1394.12,46746.6,Active,Business Expansion
L000170,C000040,BR026,Home,138223.85,18.05,360,2020-07-13,2050-07-13,2088.79,131465.9,Active,Home Purchase
L000171,C000199,BR001,Home,301705.02,8.37,240,2023-04-17,2043-04-17,2593.5,293824.32,In Arrears,Home Purchase
L000172,C000041,BR004,Education,214838.22,8.47,48,2022-09-29,2026-09-29,5292.36,156779.19,Active,Education
L000173,C000349,BR039,Personal,5568.58,6.45,84,2023-07-06,2030-07-06,82.56,5361.93,Active,Personal
L000174,C000233,BR017,Home,111988.59,7.49,180,2022-03-21,2037-03-21,1037.51,107321.37,Active,Home Purchase
L000175,C000166,BR016,Personal,142575.11,16.47,24,2023-01-23,2025-01-23,7012.98,0.0,Closed,Debt Consolidation
L000176,C000474,BR003,Education,420738.12,5.75,60,2023-05-13,2028-05-13,8085.23,0.0,Closed,Education
L000177,C000284,BR039,Auto,111258.93,13.73,180,2022-08-14,2037-08-14,1461.55,107366.84,In Arrears,Vehicle
L000178,C000033,BR024,Education,304946.31,14.31,60,2023-10-21,2028-10-21,7144.67,290970.23,Active,Education
L000179,C000300,BR019,Home,266588.4,10.47,240,2021-08-28,2041-08-28,2656.19,0.0,Closed,Home Purchase
L000180,C000304,BR014,Credit Builder,420028.74,14.46,240,2020-09-06,2040-09-06,5364.05,0.0,Closed,Debt Consolidation
L000181,C000077,BR018,Personal,27944.39,15.5,84,2023-05-26,2030-05-26,547.1,27582.18,Defaulted,Personal
L000182,C000431,BR023,Business,417654.35,9.74,36,2022-03-19,2025-03-19,13425.61,0.0,Closed,Business Expansion
L000183,C000441,BR022,Auto,473036.34,6.09,240,2021-05-20,2041-05-20,3413.59,470805.82,In Arrears,Vehicle
L000184,C000340,BR017,Home,441380.19,15.11,36,2020-06-30,2023-06-30,15324.38,363018.26,Defaulted,Home Purchase
L000185,C000292,BR012,Personal,32755.76,16.98,36,2023-11-24,2026-11-24,1167.51,29588.42,Active,Personal
L000186,C000175,BR001,Auto,178223.73,13.35,24,2022-10-05,2024-10-05,8502.41,157956.6,In Arrears,Vehicle
L000187,C000118,BR019,Business,116967.24,16.58,36,2023-08-30,2026-08-30,4145.79,98803.96,Active,Business Expansion
L000188,C000140,BR027,Education,416172.57,13.59,48,2020-08-25,2024-08-25,11287.12,402016.99,In Arrears,Education
L000189,C000415,BR001,Business,376236.96,5.42,48,2023-09-21,2027-09-21,8736.23,366142.05,In Arrears,Business Expansion
L000190,C000247,BR003,Education,177631.72,17.12,36,2022-11-04,2025-11-04,6343.67,0.0,Closed,Education
L000191,C000018,BR026,Credit Builder,429498.72,6.72,84,2022-10-12,2029-10-12,6423.66,425376.75,Defaulted,Debt Consolidation
L000192,C000473,BR021,Personal,318808.4,10.26,60,2020-10-16,2025-10-16,6814.59,296885.6,In Arrears,Personal
L000193,C000327,BR032,Education,137657.45,9.17,36,2022-05-01,2025-05-01,4388.37,126640.33,Defaulted,Education
L000194,C000321,BR019,Business,230034.27,14.53,240,2021-10-19,2041-10-19,2949.49,226354.37,In Arrears,Business Expansion
L000195,C000456,BR013,Home,403130.24,11.92,48,2023-08-19,2027-08-19,10600.14,374646.01,Active,Home Purchase
L000196,C000290,BR025,Education,12025.2,13.97,360,2020-02-16,2050-02-16,142.2,11665.32,In Arrears,Education
L000197,C000271,BR027,Credit Builder,40324.83,6.72,180,2022-06-29,2037-06-29,356.17,40098.11,In Arrears,Personal
L000198,C000243,BR032,Personal,208078.54,14.59,12,2022-07-18,2023-07-18,18740.59,0.0,Closed,Debt Consolidation
L000199,C000345,BR028,Business,102055.62,17.28,180,2023-06-23,2038-06-23,1590.94,98919.13,Defaulted,Business Expansion
L000200,C000193,BR003,Credit Builder,82207.92,11.14,240,2023-02-23,2043-02-23,856.39,0.0,Closed,Personal
L000201,C000318,BR035,Home,316897.23,15.79,24,2022-05-04,2024-05-04,15484.5,296393.21,In Arrears,Home Purchase
L000202,C000489,BR029,Auto,383215.44,10.91,360,2023-05-23,2053-05-23,3623.41,0.0,Closed,Vehicle
L000203,C000160,BR009,Education,12475.49,16.64,12,2021-09-10,2022-09-10,1135.69,10296.38,Defaulted,Education
L000204,C000406,BR022,Education,199701.49,9.85,240,2021-05-30,2041-05-30,1907.36,198555.82,Defaulted,Education
L000205,C000342,BR033,Credit Builder,59695.92,17.35,48,2023-12-15,2027-12-15,1733.36,56236.43,Defaulted,Debt Consolidation
L000206,C000144,BR040,Education,281012.03,10.77,36,2022-07-27,2025-07-27,9169.4,0.0,Closed,Education
L000207,C000412,BR029,Business,392909.81,11.64,360,2021-07-07,2051-07-07,3932.98,390210.1,In Arrears,Business Expansion
L000208,C000238,BR021,Business,449123.31,8.85,360,2023-04-07,2053-04-07,3565.38,0.0,Closed,Business Expansion
L000209,C000482,BR020,Credit Builder,36017.7,14.72,12,2020-03-02,2021-03-02,3246.14,0.0,Closed,Personal
L000210,C000363,BR034,Personal,11464.14,4.19,12,2023-12-26,2024-12-26,977.17,8878.43,In Arrears,Debt Consolidation
L000211,C000113,BR021,Credit Builder,129510.41,10.79,48,2023-10-17,2027-10-17,3334.07,116884.83,Active,Personal
L000212,C000057,BR020,Credit Builder,184675.7,11.68,120,2023-08-12,2033-08-12,2615.51,180925.68,Defaulted,Debt Consolidation
L000213,C000115,BR019,Home,58447.51,17.64,36,2020-04-15,2023-04-15,2102.48,54487.8,Defaulted,Home Purchase
L000214,C000342,BR003,Personal,114308.77,7.97,48,2022-12-23,2026-12-23,2789.0,110706.04,Defaulted,Debt Consolidation
L000215,C000247,BR030,Business,46373.42,13.55,48,2022-05-24,2026-05-24,1256.78,35327.03,Active,Business Expansion
L000216,C000257,BR003,Personal,350458.49,10.67,48,2021-08-29,2025-08-29,9001.72,309687.98,In Arrears,Debt Consolidation
L000217,C000325,BR007,Auto,315170.84,11.29,240,2023-11-14,2043-11-14,3315.59,0.0,Closed,Vehicle
L000218,C000289,BR008,Personal,414336.65,4.76,120,2020-06-26,2030-06-26,4346.24,0.0,Closed,Personal
L000219,C000237,BR018,Business,275851.83,9.36,84,2021-09-09,2028-09-09,4488.76,267418.09,Defaulted,Business Expansion
L000220,C000225,BR012,Personal,355781.44,16.07,84,2022-08-27,2029-08-27,7080.75,333066.65,Defaulted,Personal
L000221,C000367,BR003,Auto,225286.28,15.39,84,2022-06-15,2029-06-15,4396.74,219037.1,Defaulted,Vehicle
L000222,C000391,BR031,Home,361704.72,17.14,360,2023-06-18,2053-06-18,5197.86,355634.51,Active,Home Purchase
L000223,C000416,BR033,Home,103867.96,6.72,60,2023-06-02,2028-06-02,2043.02,97042.05,In Arrears,Home Purchase
L000224,C000313,BR028,Education,395476.78,10.06,180,2023-08-28,2038-08-28,4264.34,0.0,Closed,Education
L000225,C000142,BR035,Home,264118.0,8.23,48,2021-04-25,2025-04-25,6476.45,255618.62,In Arrears,Home Purchase
