card_id,account_id,card_type,issue_date,expiry_date,credit_limit,outstanding_balance,reward_points,is_active,network
CARD000039,ACC0000108,Credit,2019-04-18,2021-06-26,11044.6,8619.07,4593,No,Mastercard
CARD000040,ACC0000665,Credit,2020-06-23,2022-10-08,5957.41,3088.43,11538,No,American Express
CARD000041,ACC0000374,Debit,2023-07-18,2023-12-04,0.0,0.0,32913,No,Mastercard
CARD000042,ACC0000488,Debit,2022-07-30,2022-12-26,0.0,0.0,15854,No,Visa
CARD000043,ACC0000095,Debit,2023-03-27,2025-10-12,0.0,0.0,34597,No,Mastercard
CARD000044,ACC0000068,Credit,2023-08-28,2025-07-03,19046.2,3980.96,33106,No,Mastercard
CARD000045,ACC0000374,Debit,2023-09-24,2025-12-07,0.0,0.0,40592,No,Mastercard
CARD000046,ACC0000660,Debit,2023-06-10,2024-07-18,0.0,0.0,47336,No,American Express
CARD000047,ACC0000107,Credit,2024-02-23,2026-06-12,23995.69,12435.72,24395,Yes,Visa
CARD000048,ACC0000659,Credit,2023-08-04,2025-05-31,9138.14,957.28,29714,No,Visa
CARD000049,ACC0000559,Debit,2023-05-12,2024-07-02,0.0,0.0,24717,No,Visa
CARD000050,ACC0000346,Debit,2020-07-10,2021-06-25,0.0,0.0,35158,No,Mastercard
CARD000051,ACC0000345,Credit,2021-12-26,2024-08-27,3651.68,1740.99,2918,No,American Express
CARD000052,ACC0000383,Credit,2021-12-11,2023-10-26,4733.95,2779.57,44805,No,Visa
CARD000053,ACC0000365,Debit,2023-10-20,2024-03-04,0.0,0.0,16694,No,American Express
CARD000054,ACC0000233,Credit,2022-12-18,2024-03-07,32181.75,1236.88,38425,No,Discover
CARD000055,ACC0000521,Credit,2020-08-11,2021-08-06,49449.67,28883.45,19973,No,Discover
CARD000056,ACC0000151,Debit,2023-03-12,2024-06-26,0.0,0.0,11711,No,American Express
CARD000057,ACC0000199,Credit,2021-07-21,2024-07-10,49958.71,28127.81,35559,No,American Express
CARD000058,ACC0000602,Debit,2023-07-21,2026-03-11,0.0,0.0,13991,Yes,Discover
CARD000059,ACC0000329,Credit,2023-06-17,2023-12-01,32952.25,2976.85,47175,No,American Express
CARD000060,ACC0000103,Debit,2024-02-25,2026-02-03,0.0,0.0,19003,No,Discover
CARD000061,ACC0000041,Debit,2022-02-28,2024-08-22,0.0,0.0,14298,No,Visa
CARD000062,ACC0000321,Debit,2023-02-10,2025-09-28,0.0,0.0,38768,No,American Express
CARD000063,ACC0000468,Debit,2022-08-31,2024-06-17,0.0,0.0,22995,No,American Express
CARD000064,ACC0000631,Credit,2023-08-01,2026-06-03,6270.64,3555.83,30649,Yes,Mastercard
CARD000065,ACC0000549,Debit,2023-02-07,2025-08-18,0.0,0.0,25749,No,Discover
CARD000066,ACC0000007,Debit,2023-03-24,2025-05-09,0.0,0.0,12219,No,American Express
CARD000067,ACC0000455,Debit,2019-12-09,2020-10-17,0.0,0.0,35138,No,Discover
CARD000068,ACC0000655,Debit,2022-02-23,2022-07-22,0.0,0.0,28539,No,American Express
CARD000069,ACC0000646,Debit,2023-07-06,2026-03-15,0.0,0.0,2628,No,Discover
CARD000070,ACC0000030,Debit,2021-12-21,2022-01-09,0.0,0.0,34525,No,Visa
CARD000071,ACC0000262,Debit,2021-08-26,2024-04-19,0.0,0.0,35010,No,Visa
CARD000072,ACC0000032,Credit,2024-05-21,2025-10-21,9544.33,5464.41,13716,No,Discover
CARD000073,ACC0000664,Debit,2018-03-02,2019-05-02,0.0,0.0,19093,No,Discover
CARD000074,ACC0000464,Debit,2020-06-04,2022-04-20,0.0,0.0,39285,No,Visa
CARD000075,ACC0000421,Credit,2021-01-16,2022-06-26,20400.24,8866.21,25729,No,American Express
CARD000076,ACC0000301,Credit,2022-05-12,2024-08-23,24762.13,4117.5,27984,No,Discover
CARD000077,ACC0000416,Credit,2021-11-26,2022-04-11,40719.72,31082.89,19746,No,American Express
CARD000078,ACC0000149,Debit,2021-04-06,2023-11-14,0.0,0.0,43887,No,American Express
CARD000079,ACC0000019,Debit,2023-07-21,2026-01-30,0.0,0.0,10278,Yes,Visa
CARD000080,ACC0000161,Credit,2022-09-15,2025-05-21,38533.31,14302.69,33870,No,Discover
CARD000081,ACC0000684,Credit,2023-11-15,2026-06-07,11150.61,1079.33,44329,Yes,Discover
CARD000082,ACC0000587,Debit,2022-09-05,2025-05-30,0.0,0.0,30016,No,Discover
CARD000083,ACC0000698,Debit,2022-06-03,2025-04-09,0.0,0.0,3403,No,Visa
CARD000084,ACC0000530,Debit,2023-06-11,2025-09-25,0.0,0.0,20994,No,American Express
CARD000085,ACC0000520,Debit,2023-07-04,2024-03-26,0.0,0.0,29817,No,Discover
CARD000086,ACC0000228,Debit,2022-11-30,2025-04-28,0.0,0.0,11965,No,Discover
CARD000087,ACC0000283,Credit,2019-06-29,2021-11-15,9102.64,3198.72,3528,No,Discover
CARD000088,ACC0000486,Credit,2018-05-14,2020-10-23,21764.61,15359.38,43287,No,American Express
CARD000089,ACC0000585,Credit,2021-10-19,2023-12-21,16923.63,13442.91,26978,No,Discover
CARD000090,ACC0000048,Credit,2019-06-11,2022-02-09,37847.68,14142.34,44196,No,Visa
CARD000091,ACC0000298,Debit,2023-03-25,2024-05-20,0.0,0.0,15688,No,Mastercard
CARD000092,ACC0000646,Debit,2022-07-05,2024-05-27,0.0,0.0,20395,No,Mastercard
CARD000093,ACC0000311,Credit,2023-01-09,2025-11-04,31921.89,6291.68,8254,No,Visa
CARD000094,ACC0000426,Debit,2023-08-22,2024-01-17,0.0,0.0,34509,No,Visa
CARD000095,ACC0000542,Debit,2022-02-19,2022-08-10,0.0,0.0,1998,No,Mastercard
CARD000096,ACC0000236,Debit,2021-10-01,2021-10-26,0.0,0.0,20616,No,Visa
CARD000097,ACC0000578,Credit,2023-01-22,2025-03-15,41777.62,15725.62,16566,No,American Express
CARD000098,ACC0000018,Credit,2023-12-21,2026-04-06,11527.27,983.88,18617,Yes,American Express
CARD000099,ACC0000584,Debit,2019-12-02,2019-12-05,0.0,0.0,47134,No,Mastercard
CARD000100,ACC0000240,Credit,2022-05-04,2024-02-07,1989.08,1038.07,10380,No,American Express
CARD000101,ACC0000297,Debit,2018-02-18,2020-11-25,0.0,0.0,8854,No,Mastercard
CARD000102,ACC0000169,Credit,2022-08-14,2025-08-07,29664.51,8930.67,37098,No,Mastercard
CARD000103,ACC0000176,Debit,2022-09-21,2024-04-17,0.0,0.0,30270,No,American Express
CARD000104,ACC0000670,Debit,2023-06-19,2024-02-21,0.0,0.0,1826,No,Mastercard
CARD000105,ACC0000089,Debit,2021-10-14,2022-10-05,0.0,0.0,43812,No,Visa
CARD000106,ACC0000471,Debit,2021-07-05,2024-03-07,0.0,0.0,44409,No,American Express
CARD000107,ACC0000647,Debit,2024-04-03,2025-10-12,0.0,0.0,32401,No,Visa
CARD000108,ACC0000269,Credit,2022-10-08,2023-01-22,5812.22,425.92,21086,No,Discover
CARD000109,ACC0000293,Debit,2024-03-03,2024-10-05,0.0,0.0,29916,No,Discover
CARD000110,ACC0000695,Credit,2023-08-21,2026-01-25,29532.83,14132.65,12685,Yes,Mastercard
CARD000111,ACC0000292,Debit,2020-04-23,2020-09-08,0.0,0.0,38525,No,American Express
CARD000112,ACC0000008,Debit,2020-03-30,2020-06-16,0.0,0.0,12832,No,Mastercard
CARD000113,ACC0000470,Credit,2020-09-20,2022-10-25,18991.64,8606.32,6404,No,Mastercard
CARD000114,ACC0000248,Credit,2023-03-29,2024-06-05,37878.08,16273.38,28064,No,Discover
CARD000115,ACC0000053,Debit,2023-10-14,2025-12-18,0.0,0.0,20873,No,American Express
CARD000116,ACC0000118,Debit,2023-12-12,2024-07-30,0.0,0.0,37280,No,Mastercard
CARD000117,ACC0000451,Credit,2022-07-16,2024-04-13,34049.15,13256.24,7282,No,American Express
CARD000118,ACC0000364,Debit,2023-04-07,2024-05-18,0.0,0.0,21378,No,Visa
CARD000119,ACC0000086,Debit,2022-01-16,2023-01-21,0.0,0.0,7344,No,Mastercard
CARD000120,ACC0000061,Debit,2020-05-30,2020-08-05,0.0,0.0,4620,No,Mastercard
CARD000121,ACC0000086,Debit,2020-02-27,2023-01-02,0.0,0.0,47562,No,Mastercard
CARD000122,ACC0000542,Credit,2023-07-15,2025-08-29,35878.93,13971.89,30886,No,Mastercard
CARD000123,ACC0000420,Debit,2019-05-29,2019-08-01,0.0,0.0,32568,No,American Express
CARD000124,ACC0000505,Debit,2021-07-14,2023-01-27,0.0,0.0,8850,No,American Express
CARD000125,ACC0000510,Debit,2022-03-26,2024-10-13,0.0,0.0,27212,No,American Express
CARD000126,ACC0000054,Credit,2020-03-26,2023-01-23,2083.32,1393.14,25379,No,Visa
CARD000127,ACC0000292,Credit,2022-10-31,2025-01-10,24352.31,6661.91,12484,No,Discover
CARD000128,ACC0000455,Debit,2022-03-05,2024-07-24,0.0,0.0,32719,No,Visa
CARD000129,ACC0000609,Debit,2018-07-30,2021-03-24,0.0,0.0,8908,No,Mastercard
CARD000130,ACC0000177,Debit,2023-06-05,2024-05-31,0.0,0.0,41087,No,Visa
CARD000131,ACC0000186,Credit,2019-05-30,2020-01-26,20539.24,12070.13,25432,No,Mastercard
CARD000132,ACC0000628,Debit,2021-05-19,2022-01-02,0.0,0.0,21484,No,Visa
CARD000133,ACC0000176,Credit,2021-12-21,2022-09-13,38764.75,9189.96,16902,No,Mastercard
CARD000134,ACC0000411,Debit,2022-11-13,2023-12-17,0.0,0.0,33806,No,American Express
CARD000135,ACC0000061,Credit,2021-07-15,2024-04-30,39296.45,18911.33,22031,No,American Express
CARD000136,ACC0000021,Credit,2020-09-13,2023-01-17,34047.71,7743.86,40354,No,Mastercard
CARD000137,ACC0000194,Credit,2023-10-07,2024-11-25,21687.43,14101.54,6209,No,Visa
CARD000138,ACC0000378,Debit,2022-04-03,2024-06-04,0.0,0.0,49219,No,Visa
CARD000139,ACC0000099,Credit,2023-06-18,2024-09-25,45096.62,8410.32,19762,No,American Express
CARD000140,ACC0000578,Debit,2020-09-05,2023-07-23,0.0,0.0,1185,No,American Express
CARD000141,ACC0000250,Credit,2022-05-30,2024-10-23,46975.19,10504.6,41864,No,Visa
CARD000142,ACC0000591,Credit,2023-12-19,2026-11-01,47227.19,29911.48,2961,Yes,American Express
CARD000143,ACC0000179,Debit,2019-03-28,2020-03-13,0.0,0.0,13372,No,American Express
CARD000144,ACC0000521,Credit,2019-08-23,2021-04-07,8738.0,398.65,10945,No,American Express
CARD000145,ACC0000650,Debit,2023-06-23,2024-05-29,0.0,0.0,729,No,American Express
CARD000146,ACC0000066,Debit,2021-04-04,2021-09-18,0.0,0.0,43306,No,Mastercard
CARD000147,ACC0000401,Debit,2022-02-11,2025-01-22,0.0,0.0,46836,No,Mastercard
CARD000148,ACC0000087,Credit,2020-03-13,2021-05-14,11542.46,2695.15,12193,No,Mastercard
CARD000149,ACC0000091,Debit,2023-02-20,2025-12-18,0.0,0.0,48005,No,American Express
CARD000150,ACC0000351,Debit,2022-09-23,2025-03-02,0.0,0.0,30228,No,Mastercard
CARD000151,ACC0000264,Credit,2019-12-31,2022-05-08,2022.17,1382.16,34493,No,Discover
CARD000152,ACC0000421,Debit,2019-07-05,2020-10-09,0.0,0.0,31001,No,Visa
CARD000153,ACC0000270,Credit,2023-08-22,2025-09-07,35886.43,14113.19,27470,No,Mastercard
CARD000154,ACC0000240,Credit,2022-10-09,2022-10-17,45593.48,32136.84,22911,No,American Express
CARD000155,ACC0000103,Debit,2024-06-11,2025-06-20,0.0,0.0,18195,No,Discover
CARD000156,ACC0000168,Credit,2019-10-09,2020-07-07,15225.71,12033.97,13681,No,Mastercard
CARD000157,ACC0000463,Debit,2021-10-15,2023-12-05,0.0,0.0,49770,No,American Express
CARD000158,ACC0000540,Credit,2023-08-11,2024-10-25,28258.64,13661.38,4787,No,Discover
CARD000159,ACC0000520,Credit,2023-03-04,2024-11-02,23557.75,8599.71,15938,No,American Express
CARD000160,ACC0000070,Credit,2024-03-18,2026-01-20,48209.04,8059.48,44174,Yes,Mastercard
CARD000161,ACC0000405,Credit,2023-02-22,2024-03-11,4756.57,446.81,9510,No,Visa
CARD000162,ACC0000602,Debit,2023-02-10,2025-09-06,0.0,0.0,44121,No,Mastercard
CARD000163,ACC0000618,Debit,2021-08-12,2022-06-22,0.0,0.0,23095,No,Visa
CARD000164,ACC0000681,Credit,2023-03-17,2023-07-17,21190.16,4091.99,13345,No,Visa
CARD000165,ACC0000658,Credit,2021-07-02,2023-11-20,8009.75,266.19,30783,No,American Express
CARD000166,ACC0000695,Credit,2023-11-22,2024-10-25,8339.91,4315.38,28673,No,Visa
CARD000167,ACC0000602,Debit,2022-12-02,2025-01-14,0.0,0.0,30774,No,Discover
CARD000168,ACC0000595,Debit,2023-05-06,2025-03-27,0.0,0.0,7234,No,American Express
CARD000169,ACC0000625,Debit,2023-08-15,2025-05-02,0.0,0.0,17237,No,Discover
CARD000170,ACC0000335,Debit,2024-02-16,2024-10-18,0.0,0.0,45642,No,American Express
CARD000171,ACC0000336,Debit,2020-11-01,2022-09-01,0.0,0.0,12020,No,Discover
CARD000172,ACC0000672,Debit,2018-07-23,2019-01-23,0.0,0.0,10935,No,American Express
CARD000173,ACC0000372,Debit,2024-01-12,2025-06-22,0.0,0.0,31763,No,Visa
CARD000174,ACC0000031,Debit,2023-05-18,2023-10-28,0.0,0.0,43294,No,Visa
CARD000175,ACC0000280,Debit,2023-05-17,2025-10-03,0.0,0.0,49633,No,Mastercard
CARD000176,ACC0000637,Credit,2024-02-06,2024-12-31,34874.72,10253.01,32081,No,Discover
CARD000177,ACC0000006,Debit,2023-08-02,2024-10-23,0.0,0.0,24376,No,Discover
CARD000178,ACC0000207,Debit,2023-10-16,2024-06-07,0.0,0.0,38960,No,Discover
CARD000179,ACC0000082,Debit,2023-05-29,2026-02-14,0.0,0.0,27548,Yes,Discover
CARD000180,ACC0000576,Credit,2022-11-06,2024-01-20,13232.06,2433.7,18249,No,Mastercard
CARD000181,ACC0000285,Debit,2021-11-30,2024-11-10,0.0,0.0,49392,No,Visa
CARD000182,ACC0000104,Debit,2022-05-13,2022-08-19,0.0,0.0,7176,No,Mastercard
CARD000183,ACC0000150,Debit,2024-02-22,2025-10-22,0.0,0.0,20125,No,Discover
CARD000184,ACC0000579,Credit,2021-09-14,2024-06-17,44738.75,32205.01,22238,No,Mastercard
CARD000185,ACC0000368,Credit,2022-08-01,2024-06-07,28805.69,8782.69,38403,No,Mastercard
CARD000186,ACC0000377,Debit,2019-10-08,2022-09-03,0.0,0.0,20226,No,Discover
CARD000187,ACC0000494,Debit,2024-07-28,2027-02-10,0.0,0.0,41533,No,Mastercard
CARD000188,ACC0000594,Debit,2023-07-24,2024-06-15,0.0,0.0,18276,No,American Express
CARD000189,ACC0000128,Debit,2019-04-21,2020-03-28,0.0,0.0,37708,No,Mastercard
CARD000190,ACC0000301,Debit,2021-08-23,2024-02-22,0.0,0.0,39776,No,Mastercard
CARD000191,ACC0000263,Debit,2023-08-21,2025-03-17,0.0,0.0,48002,No,American Express
CARD000192,ACC0000126,Debit,2023-01-22,2024-11-02,0.0,0.0,22885,No,Visa
CARD000193,ACC0000512,Credit,2023-03-23,2023-06-18,6528.71,3749.24,215,No,Visa
CARD000194,ACC0000616,Debit,2022-12-31,2023-06-11,0.0,0.0,43771,No,Mastercard
CARD000195,ACC0000141,Debit,2023-12-02,2024-05-03,0.0,0.0,43424,No,Mastercard
CARD000196,ACC0000609,Debit,2021-05-07,2022-10-06,0.0,0.0,26219,No,Visa
CARD000197,ACC0000003,Credit,2022-12-31,2024-12-28,36163.59,12162.2,41773,No,Mastercard
CARD000198,ACC0000488,Credit,2023-06-08,2024-01-22,46323.24,36153.19,10210,No,Visa
CARD000199,ACC0000008,Debit,2021-12-26,2023-03-01,0.0,0.0,42112,No,American Express
CARD000200,ACC0000654,Debit,2023-11-30,2025-06-08,0.0,0.0,27935,No,Mastercard
CARD000201,ACC0000210,Debit,2022-08-20,2023-12-18,0.0,0.0,40871,No,Mastercard
CARD000202,ACC0000114,Debit,2024-02-23,2025-04-18,0.0,0.0,22673,No,Discover
CARD000203,ACC0000607,Debit,2023-01-19,2025-08-11,0.0,0.0,34005,No,Mastercard
CARD000204,ACC0000534,Debit,2023-12-09,2025-04-30,0.0,0.0,19193,No,Discover
CARD000205,ACC0000231,Debit,2022-05-29,2024-05-09,0.0,0.0,12513,No,Discover
CARD000206,ACC0000020,Debit,2020-10-18,2022-06-24,0.0,0.0,25167,No,Mastercard
CARD000207,ACC0000311,Credit,2022-12-28,2025-08-26,49072.29,10238.7,23034,No,Visa
CARD000208,ACC0000442,Debit,2023-09-27,2024-08-26,0.0,0.0,22298,No,Mastercard
CARD000209,ACC0000289,Credit,2022-11-11,2024-01-04,13460.27,9275.09,31654,No,Mastercard
CARD000210,ACC0000622,Credit,2023-01-22,2023-11-18,16267.27,3443.06,48474,No,American Express
CARD000211,ACC0000204,Credit,2024-04-26,2025-11-03,16904.6,2248.94,19683,No,American Express
CARD000212,ACC0000247,Debit,2022-09-06,2023-10-10,0.0,0.0,46522,No,Visa
CARD000213,ACC0000196,Debit,2023-04-19,2024-10-13,0.0,0.0,33663,No,Discover
CARD000214,ACC0000027,Debit,2023-12-16,2025-12-15,0.0,0.0,23182,No,Mastercard
CARD000215,ACC0000063,Debit,2022-03-17,2024-03-04,0.0,0.0,17453,No,Visa
CARD000216,ACC0000163,Debit,2023-04-29,2025-01-19,0.0,0.0,30892,No,American Express
CARD000217,ACC0000454,Debit,2022-07-16,2023-05-14,0.0,0.0,3730,No,American Express
CARD000218,ACC0000144,Credit,2022-05-08,2024-02-15,26568.42,12579.54,20514,No,Visa
CARD000219,ACC0000691,Debit,2022-01-06,2023-04-15,0.0,0.0,25430,No,Visa
CARD000220,ACC0000232,Debit,2023-07-26,2026-01-11,0.0,0.0,6092,No,American Express
CARD000221,ACC0000663,Debit,2024-05-03,2024-06-12,0.0,0.0,25497,No,Mastercard
CARD000222,ACC0000314,Debit,2022-09-05,2022-10-15,0.0,0.0,37813,No,Discover
CARD000223,ACC0000275,Debit,2023-07-03,2025-03-06,0.0,0.0,7095,No,American Express
CARD000224,ACC0000396,Credit,2022-08-24,2024-03-06,49887.73,32712.4,40516,No,Discover
CARD000225,ACC0000356,Debit,2021-03-02,2021-04-18,0.0,0.0,7471,No,Visa
CARD000226,ACC0000188,Credit,2022-12-01,2023-01-20,21585.26,13990.31,38602,No,Mastercard
CARD000227,ACC0000687,Debit,2020-06-24,2023-06-19,0.0,0.0,42452,No,American Express
CARD000228,ACC0000516,Debit,2023-04-05,2024-10-01,0.0,0.0,36100,No,American Express
CARD000229,ACC0000510,Credit,2020-07-29,2022-12-21,14326.01,4136.93,38426,No,Visa
CARD000230,ACC0000221,Credit,2022-03-26,2023-03-15,2074.41,273.16,17712,No,Visa
CARD000231,ACC0000307,Debit,2023-07-23,2025-09-03,0.0,0.0,16660,No,Mastercard
CARD000232,ACC0000644,Credit,2021-04-21,2022-05-20,37571.86,17868.1,37548,No,Discover
CARD000233,ACC0000326,Credit,2019-11-25,2021-03-08,9523.96,588.9,9529,No,Discover
CARD000234,ACC0000622,Credit,2022-03-19,2024-08-14,2948.39,1733.8,37489,No,Discover
CARD000235,ACC0000424,Credit,2021-11-18,2022-03-23,13753.57,8935.55,6352,No,Discover
CARD000236,ACC0000577,Credit,2022-10-14,2025-09-04,29941.54,2590.94,21375,No,American Express
CARD000237,ACC0000354,Debit,2023-10-29,2024-10-18,0.0,0.0,29375,No,Mastercard
CARD000238,ACC0000359,Debit,2022-06-11,2024-04-25,0.0,0.0,388,No,Mastercard
CARD000239,ACC0000090,Credit,2022-10-15,2023-12-11,41040.86,21099.47,6406,No,Visa
CARD000240,ACC0000032,Debit,2024-02-29,2026-04-23,0.0,0.0,27242,Yes,Mastercard
CARD000241,ACC0000607,Credit,2022-01-08,2023-03-22,47002.92,18176.77,37463,No,Visa
CARD000242,ACC0000035,Debit,2023-01-16,2024-01-03,0.0,0.0,46041,No,Visa
CARD000243,ACC0000401,Debit,2022-07-02,2023-12-22,0.0,0.0,10337,No,Visa
CARD000244,ACC0000543,Credit,2020-10-16,2021-10-14,40530.39,26517.03,47925,No,Discover
CARD000245,ACC0000243,Debit,2024-02-19,2026-08-28,0.0,0.0,8561,Yes,American Express
CARD000246,ACC0000612,Credit,2021-02-27,2021-06-27,35401.69,19884.47,14187,No,Visa
CARD000247,ACC0000556,Debit,2023-11-15,2024-10-21,0.0,0.0,21210,No,Visa
CARD000248,ACC0000298,Debit,2021-06-30,2021-11-01,0.0,0.0,30196,No,Visa
CARD000249,ACC0000211,Debit,2024-05-21,2026-11-29,0.0,0.0,23549,Yes,Visa
CARD000250,ACC0000364,Debit,2023-02-05,2023-08-03,0.0,0.0,15144,No,Discover
CARD000251,ACC0000543,Debit,2021-07-31,2023-12-11,0.0,0.0,28876,No,Visa
CARD000252,ACC0000389,Debit,2021-12-02,2024-04-12,0.0,0.0,30528,No,American Express
CARD000253,ACC0000685,Credit,2023-08-04,2026-03-18,2970.77,1674.87,47871,Yes,Discover
CARD000254,ACC0000523,Credit,2023-05-29,2025-07-06,13705.54,4313.42,42566,No,Discover
CARD000255,ACC0000021,Credit,2023-09-30,2025-03-05,31797.52,15044.07,45524,No,Visa
CARD000256,ACC0000687,Debit,2022-02-25,2022-04-10,0.0,0.0,46892,No,American Express
CARD000257,ACC0000330,Debit,2021-12-31,2023-08-28,0.0,0.0,11597,No,Mastercard
CARD000258,ACC0000507,Debit,2020-03-19,2022-06-12,0.0,0.0,531,No,Discover
CARD000259,ACC0000442,Debit,2024-04-20,2026-08-15,0.0,0.0,8100,Yes,American Express
CARD000260,ACC0000299,Debit,2020-04-01,2022-04-22,0.0,0.0,23503,No,American Express
CARD000261,ACC0000513,Debit,2022-09-13,2024-04-23,0.0,0.0,32894,No,American Express
CARD000262,ACC0000291,Credit,2020-04-11,2022-09-19,32221.94,10701.6,6120,No,Discover
CARD000263,ACC0000141,Debit,2024-02-08,2025-07-24,0.0,0.0,45516,No,American Express
CARD000264,ACC0000283,Debit,2020-10-06,2022-12-21,0.0,0.0,18930,No,Mastercard
CARD000265,ACC0000278,Debit,2023-11-28,2024-06-22,0.0,0.0,28858,No,Mastercard
CARD000266,ACC0000605,Debit,2024-06-06,2027-04-10,0.0,0.0,44602,Yes,Visa
CARD000267,ACC0000583,Debit,2021-12-29,2023-09-16,0.0,0.0,12739,No,Visa
CARD000268,ACC0000603,Credit,2020-01-30,2020-11-29,5100.93,3053.05,8452,No,American Express
CARD000269,ACC0000351,Debit,2023-12-04,2026-03-18,0.0,0.0,5318,Yes,Visa
CARD000270,ACC0000085,Debit,2022-06-02,2023-08-24,0.0,0.0,10887,No,Visa
CARD000271,ACC0000675,Credit,2021-09-21,2022-05-07,13580.62,3881.43,26020,No,Visa
CARD000272,ACC0000573,Credit,2023-05-10,2025-01-17,12771.65,5706.78,9878,No,Discover
CARD000273,ACC0000222,Debit,2022-01-20,2022-08-19,0.0,0.0,25990,No,American Express
CARD000274,ACC0000417,Debit,2023-03-27,2025-07-21,0.0,0.0,14579,No,Mastercard
CARD000275,ACC0000034,Credit,2023-05-10,2025-10-17,4683.89,14.44,19097,No,American Express
CARD000276,ACC0000451,Credit,2023-07-21,2024-10-27,36468.32,18236.64,44315,No,American Express
CARD000277,ACC0000573,Credit,2019-09-04,2021-10-09,3847.76,231.87,4640,No,Discover
CARD000278,ACC0000290,Credit,2019-05-16,2021-02-27,20377.48,3187.79,36079,No,Visa
CARD000279,ACC0000352,Debit,2022-10-23,2024-02-28,0.0,0.0,48770,No,American Express
CARD000280,ACC0000025,Debit,2023-09-20,2026-04-13,0.0,0.0,10289,No,Visa
CARD000281,ACC0000355,Debit,2023-06-18,2024-05-17,0.0,0.0,1473,No,American Express
CARD000282,ACC0000137,Debit,2022-10-22,2024-02-01,0.0,0.0,43052,No,Visa
