payment_id,loan_id,payment_date,scheduled_amount,paid_amount,principal_paid,interest_paid,penalty,days_late,payment_method,status
LP0001384,L000011,2022-01-28,7952.99,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0000908,L000011,2022-02-28,7952.99,7952.99,5798.11,2154.88,0.0,0,Bank Transfer,Paid
LP0000886,L000011,2022-03-28,7952.99,0.0,0.0,0.0,0.0,0,Cheque,Pending
LP0000072,L000011,2022-04-28,7952.99,7952.99,4687.68,3026.72,238.59,13,Cheque,Late
LP0000690,L000011,2022-05-28,7952.99,7952.99,4456.88,3257.52,238.59,35,Cash,Late
LP0000861,L000012,2023-06-03,3778.71,0.0,0.0,0.0,0.0,0,Debit Card,Pending
LP0001596,L000012,2023-07-03,3778.71,3778.71,2364.42,1414.29,0.0,0,Bank Transfer,Paid
LP0000288,L000012,2023-08-03,3778.71,0.0,0.0,0.0,0.0,0,Debit Card,Pending
LP0001961,L000012,2023-09-03,3778.71,3778.71,2278.62,1500.09,0.0,0,Cash,Paid
LP0000153,L000012,2023-10-03,3778.71,3778.71,2275.88,1389.47,113.36,25,Auto Debit,Late
LP0001385,L000012,2023-11-03,3778.71,0.0,0.0,0.0,0.0,0,Cheque,Pending
LP0000162,L000012,2023-12-03,3778.71,0.0,0.0,0.0,0.0,0,Cheque,Pending
LP0001081,L000012,2024-01-03,3778.71,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0001154,L000013,2021-01-18,3753.47,3753.47,2298.79,1454.68,0.0,0,Debit Card,Paid
LP0001599,L000013,2021-02-18,3753.47,3753.47,2731.04,1022.43,0.0,0,Online Banking,Paid
LP0001668,L000013,2021-03-18,3753.47,3753.47,2758.83,994.64,0.0,0,Bank Transfer,Paid
LP0000008,L000013,2021-04-18,3753.47,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0001741,L000013,2021-05-18,3753.47,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0000880,L000013,2021-06-18,3753.47,0.0,0.0,0.0,0.0,0,Credit Card,Missed
LP0000098,L000013,2021-07-18,3753.47,3753.47,2495.81,1257.66,0.0,0,Credit Card,Paid
LP0001064,L000013,2021-08-18,3753.47,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0000431,L000013,2021-09-18,3753.47,3753.47,2120.29,1633.18,0.0,0,Cheque,Paid
LP0000673,L000013,2021-10-18,3753.47,3753.47,2462.2,1178.67,112.6,13,Online Banking,Late
LP0000075,L000014,2023-06-25,10382.85,0.0,0.0,0.0,0.0,0,Online Banking,Missed
LP0000708,L000014,2023-07-25,10382.85,15189.72,9827.48,4906.55,455.69,18,Cash,Late
LP0000369,L000014,2023-08-25,10382.85,15189.72,8678.88,6055.15,455.69,39,Cash,Late
LP0000721,L000014,2023-09-25,10382.85,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0000215,L000014,2023-10-25,10382.85,15189.72,11334.29,3855.43,0.0,0,Online Banking,Paid
LP0001963,L000014,2023-11-25,10382.85,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0000180,L000014,2023-12-25,10382.85,15189.72,10397.82,4791.9,0.0,0,Debit Card,Paid
LP0000744,L000014,2024-01-25,10382.85,15189.72,9736.69,4997.34,455.69,5,Cheque,Late
LP0000249,L000015,2024-01-03,3158.27,3158.27,1803.05,1260.47,94.75,31,Cheque,Late
LP0001565,L000015,2024-02-03,3158.27,3158.27,1976.75,1086.77,94.75,15,Credit Card,Late
LP0001678,L000015,2024-03-03,3158.27,0.0,0.0,0.0,0.0,0,Debit Card,Pending
LP0000739,L000015,2024-04-03,3158.27,3158.27,2240.65,917.62,0.0,0,Cheque,Paid
LP0001688,L000015,2024-05-03,3158.27,0.0,0.0,0.0,0.0,0,Online Banking,Missed
LP0001945,L000015,2024-06-03,3158.27,0.0,0.0,0.0,0.0,0,Cash,Pending
LP0001366,L000016,2022-01-23,7887.84,0.0,0.0,0.0,0.0,0,Credit Card,Pending
LP0001513,L000016,2022-02-23,7887.84,75300.6,71815.62,3484.98,0.0,0,Credit Card,Paid
LP0000700,L000016,2022-03-23,7887.84,75845.37,72395.97,3449.4,0.0,0,Debit Card,Paid
LP0001969,L000016,2022-04-23,7887.84,73340.2,70103.18,3237.02,0.0,0,Credit Card,Paid
LP0000702,L000016,2022-05-23,7887.84,0.0,0.0,0.0,0.0,0,Credit Card,Missed
LP0000055,L000016,2022-06-23,7887.84,7887.84,5756.95,2130.89,0.0,0,Debit Card,Paid
LP0001708,L000017,2021-02-10,4734.7,4734.7,3314.25,1420.45,0.0,0,Online Banking,Paid
LP0001615,L000017,2021-03-10,4734.7,0.0,0.0,0.0,0.0,0,Cash,Pending
LP0000697,L000017,2021-04-10,4734.7,0.0,0.0,0.0,0.0,0,Credit Card,Missed
LP0000434,L000017,2021-05-10,4734.7,4734.7,2829.52,1905.18,0.0,0,Bank Transfer,Paid
LP0001700,L000017,2021-06-10,4734.7,4734.7,2731.42,2003.28,0.0,0,Bank Transfer,Paid
LP0000074,L000017,2021-07-10,4734.7,0.0,0.0,0.0,0.0,0,Credit Card,Missed
LP0001511,L000017,2021-08-10,4734.7,0.0,0.0,0.0,0.0,0,Credit Card,Pending
LP0001427,L000017,2021-09-10,4734.7,4734.7,2725.66,2009.04,0.0,0,Debit Card,Paid
LP0001916,L000017,2021-10-10,4734.7,4734.7,3498.92,1235.78,0.0,0,Cheque,Paid
LP0001971,L000017,2021-11-10,4734.7,4734.7,2956.18,1636.48,142.04,43,Cash,Late
LP0001953,L000018,2023-02-04,285.78,285.78,189.63,96.15,0.0,0,Debit Card,Paid
LP0000141,L000018,2023-03-04,285.78,285.78,199.86,85.92,0.0,0,Cash,Paid
LP0001132,L000018,2023-04-04,285.78,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0001897,L000018,2023-05-04,285.78,0.0,0.0,0.0,0.0,0,Credit Card,Missed
LP0001337,L000018,2023-06-04,285.78,285.78,179.99,105.79,0.0,0,Bank Transfer,Paid
LP0000413,L000018,2023-07-04,285.78,0.0,0.0,0.0,0.0,0,Cash,Missed
LP0000363,L000018,2023-08-04,285.78,0.0,0.0,0.0,0.0,0,Online Banking,Pending
LP0001830,L000019,2023-06-09,10015.34,76215.11,71925.0,4290.11,0.0,0,Cash,Paid
LP0001007,L000019,2023-07-09,10015.34,151466.49,148340.93,3125.56,0.0,0,Cheque,Paid
LP0001619,L000019,2023-08-09,10015.34,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0000174,L000019,2023-09-09,10015.34,86705.13,83322.24,3082.43,300.46,37,Bank Transfer,Late
LP0000176,L000019,2023-10-09,10015.34,10015.34,5583.56,4431.78,0.0,0,Cheque,Paid
LP0000001,L000020,2021-02-28,5755.72,0.0,0.0,0.0,0.0,0,Auto Debit,Pending
LP0000081,L000020,2021-03-31,5755.72,0.0,0.0,0.0,0.0,0,Credit Card,Missed
LP0000585,L000020,2021-04-30,5755.72,8983.31,5466.82,3246.99,269.5,23,Bank Transfer,Late
LP0000922,L000020,2021-05-31,5755.72,8983.31,5546.38,3167.43,269.5,37,Cheque,Late
LP0000170,L000020,2021-06-30,5755.72,8983.31,5951.98,3031.33,0.0,0,Credit Card,Paid
LP0001218,L000020,2021-07-31,5755.72,8983.31,5572.2,3141.61,269.5,16,Online Banking,Late
LP0000061,L000021,2023-05-28,17492.85,17492.85,12353.75,5139.1,0.0,0,Cash,Paid
LP0000691,L000021,2023-06-28,17492.85,17492.85,11664.71,5828.14,0.0,0,Online Banking,Paid
LP0001750,L000021,2023-07-28,17492.85,17492.85,11400.23,5567.83,524.79,18,Credit Card,Late
LP0000988,L000021,2023-08-28,17492.85,0.0,0.0,0.0,0.0,0,Cheque,Pending
LP0000582,L000022,2023-04-18,226.93,226.93,136.59,83.53,6.81,7,Bank Transfer,Late
LP0000130,L000022,2023-05-18,226.93,226.93,123.11,97.01,6.81,43,Credit Card,Late
LP0001324,L000022,2023-06-18,226.93,226.93,159.36,60.76,6.81,12,Debit Card,Late
LP0000493,L000022,2023-07-18,226.93,226.93,162.59,57.53,6.81,41,Debit Card,Late
LP0000672,L000022,2023-08-18,226.93,226.93,145.98,80.95,0.0,0,Bank Transfer,Paid
LP0001221,L000022,2023-09-18,226.93,226.93,142.6,77.52,6.81,9,Cheque,Late
LP0001881,L000023,2024-01-23,982.51,0.0,0.0,0.0,0.0,0,Debit Card,Pending
LP0000362,L000023,2024-02-23,982.51,982.51,551.03,402.0,29.48,14,Debit Card,Late
LP0000747,L000023,2024-03-23,982.51,982.51,556.93,396.1,29.48,12,Bank Transfer,Late
LP0000464,L000023,2024-04-23,982.51,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0000840,L000023,2024-05-23,982.51,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0000797,L000023,2024-06-23,982.51,0.0,0.0,0.0,0.0,0,Auto Debit,Pending
LP0001654,L000023,2024-07-23,982.51,0.0,0.0,0.0,0.0,0,Bank Transfer,Pending
LP0001213,L000023,2024-08-23,982.51,982.51,562.43,390.6,29.48,43,Debit Card,Late
LP0000745,L000023,2024-09-23,982.51,0.0,0.0,0.0,0.0,0,Credit Card,Missed
LP0000142,L000023,2024-10-23,982.51,982.51,686.9,266.13,29.48,17,Cheque,Late
LP0001616,L000024,2023-07-03,1098.73,1098.73,706.87,358.9,32.96,25,Auto Debit,Late
LP0000149,L000024,2023-08-03,1098.73,1098.73,666.81,398.96,32.96,42,Cash,Late
LP0001457,L000024,2023-09-03,1098.73,1098.73,731.66,367.07,0.0,0,Cheque,Paid
LP0000336,L000024,2023-10-03,1098.73,0.0,0.0,0.0,0.0,0,Debit Card,Missed
LP0001556,L000025,2024-01-12,16026.13,59760.81,54662.22,4617.81,480.78,32,Auto Debit,Late
LP0001504,L000025,2024-02-12,16026.13,63735.32,57206.98,6047.56,480.78,35,Bank Transfer,Late
LP0000723,L000025,2024-03-12,16026.13,0.0,0.0,0.0,0.0,0,Auto Debit,Pending
LP0001371,L000025,2024-04-12,16026.13,0.0,0.0,0.0,0.0,0,Debit Card,Pending
LP0001271,L000025,2024-05-12,16026.13,60312.31,53102.53,7209.78,0.0,0,Bank Transfer,Paid
LP0000475,L000025,2024-06-12,16026.13,16026.13,11156.41,4869.72,0.0,0,Cheque,Paid
LP0000314,L000026,2022-01-05,1936.69,62267.85,61432.49,835.36,0.0,0,Cash,Paid
LP0000346,L000026,2022-02-05,1936.69,64456.29,63684.07,772.22,0.0,0,Credit Card,Paid
LP0000956,L000026,2022-03-05,1936.69,0.0,0.0,0.0,0.0,0,Debit Card,Missed
LP0001008,L000026,2022-04-05,1936.69,0.0,0.0,0.0,0.0,0,Debit Card,Missed
LP0000087,L000026,2022-05-05,1936.69,0.0,0.0,0.0,0.0,0,Cash,Pending
LP0000873,L000026,2022-06-05,1936.69,1936.69,1270.38,666.31,0.0,0,Cash,Paid
LP0001573,L000027,2022-10-01,1692.15,33361.12,32667.02,643.34,50.76,23,Online Banking,Late
LP0001885,L000027,2022-11-01,1692.15,0.0,0.0,0.0,0.0,0,Bank Transfer,Pending
LP0000991,L000027,2022-12-01,1692.15,0.0,0.0,0.0,0.0,0,Online Banking,Missed
LP0000196,L000027,2023-01-01,1692.15,35973.61,35392.27,530.58,50.76,40,Bank Transfer,Late
LP0000517,L000027,2023-02-01,1692.15,0.0,0.0,0.0,0.0,0,Debit Card,Pending
LP0000954,L000027,2023-03-01,1692.15,1692.15,965.48,726.67,0.0,0,Cheque,Paid
LP0001798,L000028,2021-11-21,1302.81,15505.01,15135.53,330.4,39.08,28,Debit Card,Late
LP0000194,L000028,2021-12-21,1302.81,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0000203,L000028,2022-01-21,1302.81,14391.45,13948.79,403.58,39.08,33,Cash,Late
LP0000342,L000028,2022-02-21,1302.81,0.0,0.0,0.0,0.0,0,Cash,Missed
LP0000129,L000028,2022-03-21,1302.81,15318.91,14937.2,381.71,0.0,0,Bank Transfer,Paid
LP0000855,L000029,2023-08-17,5200.56,377996.93,376389.96,1606.97,0.0,0,Debit Card,Paid
LP0001973,L000029,2023-09-17,5200.56,0.0,0.0,0.0,0.0,0,Auto Debit,Pending
LP0000918,L000029,2023-10-17,5200.56,0.0,0.0,0.0,0.0,0,Debit Card,Pending
LP0001672,L000029,2023-11-17,5200.56,0.0,0.0,0.0,0.0,0,Cheque,Pending
LP0000038,L000029,2023-12-17,5200.56,0.0,0.0,0.0,0.0,0,Bank Transfer,Pending
LP0000200,L000029,2024-01-17,5200.56,5200.56,3754.21,1446.35,0.0,0,Auto Debit,Paid
LP0001765,L000030,2023-05-23,1927.3,87555.01,86725.87,771.32,57.82,17,Online Banking,Late
LP0001994,L000030,2023-06-23,1927.3,88532.11,87699.0,775.29,57.82,12,Cheque,Late
LP0001661,L000030,2023-07-23,1927.3,0.0,0.0,0.0,0.0,0,Credit Card,Missed
LP0000949,L000030,2023-08-23,1927.3,1927.3,1291.33,635.97,0.0,0,Cash,Paid
LP0001074,L000031,2024-01-23,2747.09,2747.09,1833.69,830.99,82.41,42,Debit Card,Late
LP0001403,L000031,2024-02-23,2747.09,0.0,0.0,0.0,0.0,0,Cheque,Pending
LP0000217,L000031,2024-03-23,2747.09,2747.09,1883.33,781.35,82.41,33,Cash,Late
LP0001418,L000031,2024-04-23,2747.09,2747.09,1814.36,850.32,82.41,7,Debit Card,Late
LP0001747,L000031,2024-05-23,2747.09,2747.09,1607.58,1139.51,0.0,0,Cash,Paid
LP0001474,L000031,2024-06-23,2747.09,0.0,0.0,0.0,0.0,0,Auto Debit,Pending
LP0001243,L000031,2024-07-23,2747.09,2747.09,1818.3,846.38,82.41,33,Cash,Late
LP0000082,L000031,2024-08-23,2747.09,0.0,0.0,0.0,0.0,0,Cheque,Pending
LP0000411,L000032,2020-12-08,3233.37,3233.37,2325.85,810.52,97.0,41,Cheque,Late
LP0001287,L000032,2021-01-08,3233.37,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0000392,L000032,2021-02-08,3233.37,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0001097,L000032,2021-03-08,3233.37,0.0,0.0,0.0,0.0,0,Bank Transfer,Pending
LP0001714,L000032,2021-04-08,3233.37,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0001198,L000032,2021-05-08,3233.37,0.0,0.0,0.0,0.0,0,Cash,Pending
LP0000899,L000032,2021-06-08,3233.37,3233.37,2185.5,950.87,97.0,17,Cheque,Late
LP0001045,L000032,2021-07-08,3233.37,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0000236,L000033,2020-08-31,1105.79,1105.79,739.28,333.34,33.17,39,Bank Transfer,Late
LP0000597,L000033,2020-09-30,1105.79,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0000959,L000033,2020-10-31,1105.79,1105.79,623.27,449.35,33.17,29,Debit Card,Late
LP0000948,L000034,2023-10-24,12450.4,12450.4,8236.81,3840.08,373.51,25,Cash,Late
LP0000642,L000034,2023-11-24,12450.4,0.0,0.0,0.0,0.0,0,Cheque,Pending
LP0000361,L000034,2023-12-24,12450.4,0.0,0.0,0.0,0.0,0,Cash,Missed
LP0001388,L000034,2024-01-24,12450.4,12450.4,7925.57,4524.83,0.0,0,Cash,Paid
LP0001391,L000034,2024-02-24,12450.4,12450.4,6798.4,5278.49,373.51,6,Cash,Late
LP0001625,L000035,2022-01-02,103.27,0.0,0.0,0.0,0.0,0,Online Banking,Missed
LP0000869,L000035,2022-02-02,103.27,103.27,70.62,32.65,0.0,0,Bank Transfer,Paid
LP0000606,L000035,2022-03-02,103.27,0.0,0.0,0.0,0.0,0,Cheque,Pending
LP0001219,L000035,2022-04-02,103.27,0.0,0.0,0.0,0.0,0,Online Banking,Pending
LP0000468,L000035,2022-05-02,103.27,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0001660,L000035,2022-06-02,103.27,103.27,62.74,40.53,0.0,0,Credit Card,Paid
LP0000117,L000036,2022-10-26,5085.23,0.0,0.0,0.0,0.0,0,Debit Card,Pending
LP0000303,L000036,2022-11-26,5085.23,5085.23,3131.7,1800.97,152.56,18,Bank Transfer,Late
LP0000756,L000036,2022-12-26,5085.23,0.0,0.0,0.0,0.0,0,Debit Card,Pending
LP0000415,L000036,2023-01-26,5085.23,5085.23,3074.4,1858.27,152.56,30,Auto Debit,Late
LP0000457,L000037,2023-06-23,8022.37,0.0,0.0,0.0,0.0,0,Auto Debit,Pending
LP0000383,L000037,2023-07-23,8022.37,0.0,0.0,0.0,0.0,0,Credit Card,Pending
LP0001512,L000037,2023-08-23,8022.37,8022.37,4711.57,3310.8,0.0,0,Credit Card,Paid
LP0000282,L000037,2023-09-23,8022.37,0.0,0.0,0.0,0.0,0,Debit Card,Pending
LP0001145,L000037,2023-10-23,8022.37,0.0,0.0,0.0,0.0,0,Cash,Pending
LP0000935,L000037,2023-11-23,8022.37,8022.37,5293.52,2728.85,0.0,0,Bank Transfer,Paid
LP0001381,L000038,2020-12-12,6555.57,6555.57,4782.14,1773.43,0.0,0,Cash,Paid
LP0001137,L000038,2021-01-12,6555.57,6555.57,4125.25,2430.32,0.0,0,Cash,Paid
LP0000862,L000038,2021-02-12,6555.57,6555.57,4848.4,1707.17,0.0,0,Debit Card,Paid
LP0000484,L000039,2020-08-29,5622.89,102304.36,100662.89,1641.47,0.0,0,Cash,Paid
LP0000911,L000039,2020-09-29,5622.89,0.0,0.0,0.0,0.0,0,Bank Transfer,Pending
LP0001611,L000039,2020-10-29,5622.89,94541.76,92580.62,1961.14,0.0,0,Cash,Paid
LP0001078,L000039,2020-11-29,5622.89,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0001965,L000039,2020-12-29,5622.89,102563.1,101070.58,1492.52,0.0,0,Auto Debit,Paid
LP0001429,L000039,2021-01-29,5622.89,101350.52,99669.77,1512.06,168.69,16,Cheque,Late
LP0001135,L000039,2021-02-28,5622.89,5622.89,3358.24,2264.65,0.0,0,Bank Transfer,Paid
LP0001597,L000040,2022-10-25,1409.71,1409.71,1013.02,396.69,0.0,0,Cheque,Paid
LP0000560,L000040,2022-11-25,1409.71,1409.71,987.34,422.37,0.0,0,Cheque,Paid
LP0000637,L000040,2022-12-25,1409.71,1409.71,1034.67,375.04,0.0,0,Debit Card,Paid
LP0000231,L000040,2023-01-25,1409.71,1409.71,985.89,423.82,0.0,0,Bank Transfer,Paid
LP0001860,L000040,2023-02-25,1409.71,1409.71,811.76,555.66,42.29,4,Cash,Late
LP0001404,L000040,2023-03-25,1409.71,0.0,0.0,0.0,0.0,0,Debit Card,Pending
LP0000625,L000040,2023-04-25,1409.71,1409.71,977.38,432.33,0.0,0,Bank Transfer,Paid
LP0000815,L000040,2023-05-25,1409.71,1409.71,1005.82,361.6,42.29,20,Cheque,Late
LP0000375,L000040,2023-06-25,1409.71,1409.71,824.98,542.44,42.29,28,Debit Card,Late
LP0000539,L000040,2023-07-25,1409.71,0.0,0.0,0.0,0.0,0,Cash,Missed
LP0000224,L000040,2023-08-25,1409.71,0.0,0.0,0.0,0.0,0,Auto Debit,Pending
LP0000578,L000040,2023-09-25,1409.71,0.0,0.0,0.0,0.0,0,Online Banking,Pending
LP0000437,L000041,2024-01-23,6598.92,0.0,0.0,0.0,0.0,0,Cheque,Missed
LP0000614,L000041,2024-02-23,6598.92,0.0,0.0,0.0,0.0,0,Bank Transfer,Pending
LP0000378,L000041,2024-03-23,6598.92,0.0,0.0,0.0,0.0,0,Credit Card,Pending
LP0001014,L000041,2024-04-23,6598.92,0.0,0.0,0.0,0.0,0,Cheque,Pending
LP0000534,L000041,2024-05-23,6598.92,0.0,0.0,0.0,0.0,0,Bank Transfer,Missed
LP0000905,L000041,2024-06-23,6598.92,6598.92,4609.8,1989.12,0.0,0,Cheque,Paid
LP0001124,L000041,2024-07-23,6598.92,6598.92,4285.09,2115.86,197.97,15,Bank Transfer,Late
LP0000491,L000042,2020-06-21,1246.21,1246.21,750.7,458.12,37.39,19,Credit Card,Late
LP0000587,L000042,2020-07-21,1246.21,1246.21,846.8,399.41,0.0,0,Debit Card,Paid
LP0000104,L000042,2020-08-21,1246.21,1246.21,818.97,389.85,37.39,24,Debit Card,Late
LP0001310,L000042,2020-09-21,1246.21,0.0,0.0,0.0,0.0,0,Online Banking,Missed
LP0001195,L000042,2020-10-21,1246.21,1246.21,807.11,401.71,37.39,21,Bank Transfer,Late
LP0001464,L000042,2020-11-21,1246.21,1246.21,933.11,313.1,0.0,0,Cheque,Paid
LP0001699,L000042,2020-12-21,1246.21,1246.21,806.68,439.53,0.0,0,Cash,Paid
LP0000013,L000042,2021-01-21,1246.21,0.0,0.0,0.0,0.0,0,Auto Debit,Pending
LP0001831,L000043,2021-01-30,4693.0,0.0,0.0,0.0,0.0,0,Debit Card,Missed
LP0000537,L000043,2021-02-28,4693.0,0.0,0.0,0.0,0.0,0,Bank Transfer,Pending
LP0001549,L000043,2021-03-30,4693.0,36547.08,34677.55,1728.74,140.79,10,Online Banking,Late
