transaction_id,account_id,transaction_date,transaction_time,transaction_type,amount,channel,description,balance_after,status
TXN00004167,ACC0000003,2023-08-22,21:44:00,Transfer,9115.16,Online,Investment,18989.25,Completed
TXN00000593,ACC0000003,2024-02-06,13:34:00,Interest,5923.24,Branch,Investment,18989.25,Pending
TXN00001353,ACC0000003,2024-06-17,12:29:00,Fee,715.78,Branch,Utility,18989.25,Failed
TXN00004832,ACC0000003,2024-10-01,9:23:00,Debit,6856.05,POS,Rent,12133.2,Completed
TXN00003391,ACC0000003,2024-12-20,9:14:00,ATM Withdrawal,4274.18,ATM,Utility,7859.02,Completed
TXN00002421,ACC0000004,2022-03-21,22:31:00,ATM Withdrawal,6337.55,ATM,Purchase,24092.33,Pending
TXN00000150,ACC0000004,2022-05-14,15:07:00,Fee,13625.5,Branch,Utility,10466.83,Completed
TXN00002515,ACC0000004,2022-06-04,17:25:00,Transfer,5963.5,Mobile,Transfer,10466.83,Pending
TXN00004239,ACC0000004,2023-02-03,15:05:00,Fee,14253.72,Online,Utility,10466.83,Failed
TXN00002857,ACC0000004,2023-02-13,21:09:00,Debit,8798.67,Online,Rent,10466.83,Failed
TXN00003117,ACC0000004,2023-04-18,20:00:00,Debit,8415.06,POS,Purchase,2051.77,Completed
TXN00000364,ACC0000004,2023-05-19,19:15:00,Credit,1502.31,Online,Refund,3554.08,Completed
TXN00000324,ACC0000004,2023-09-16,16:24:00,ATM Withdrawal,10130.21,ATM,Purchase,3554.08,Failed
TXN00001705,ACC0000004,2024-04-06,11:40:00,Transfer,6925.25,Mobile,Rent,3554.08,Pending
TXN00000834,ACC0000004,2024-12-13,14:30:00,Transfer,8733.9,Online,Transfer,3554.08,Failed
TXN00004938,ACC0000005,2023-09-27,19:40:00,ATM Withdrawal,7726.45,ATM,Utility,49312.9,Failed
TXN00000294,ACC0000005,2024-02-18,20:21:00,ATM Withdrawal,12130.07,ATM,Rent,49312.9,Failed
TXN00002191,ACC0000005,2024-03-22,11:24:00,Transfer,13745.27,Wire Transfer,Investment,35567.63,Completed
TXN00003763,ACC0000005,2024-04-01,18:51:00,Interest,316.91,Branch,Investment,35567.63,Pending
TXN00004467,ACC0000006,2022-03-20,13:03:00,Credit,3714.43,Online,Salary,11208.29,Failed
TXN00002354,ACC0000006,2022-06-03,9:43:00,Interest,12117.74,Branch,Investment,11208.29,Pending
TXN00000365,ACC0000006,2022-07-13,21:41:00,Interest,5154.98,Branch,Investment,11208.29,Pending
TXN00002637,ACC0000006,2022-08-03,13:19:00,Fee,10083.82,Branch,Utility,11208.29,Failed
TXN00003780,ACC0000006,2023-02-28,10:23:00,Credit,3877.43,Online,Investment,11208.29,Pending
TXN00003543,ACC0000006,2023-07-19,22:58:00,Debit,7468.43,POS,Rent,3739.86,Completed
TXN00003966,ACC0000006,2023-09-05,17:47:00,Interest,13400.25,Branch,Investment,3739.86,Pending
TXN00003724,ACC0000006,2023-12-21,14:27:00,Transfer,13235.83,Mobile,Transfer,3739.86,Failed
TXN00000654,ACC0000006,2024-11-13,14:40:00,Interest,13742.39,Online,Investment,17482.25,Completed
TXN00000305,ACC0000007,2022-10-08,9:41:00,Interest,10134.71,Online,Investment,11165.25,Completed
TXN00003453,ACC0000007,2022-12-06,10:21:00,Interest,14326.29,Branch,Investment,11165.25,Failed
TXN00001409,ACC0000007,2023-05-02,8:36:00,Interest,5060.07,Online,Investment,11165.25,Failed
TXN00000706,ACC0000007,2023-12-13,15:53:00,Debit,4515.62,Mobile,Purchase,11165.25,Pending
TXN00000243,ACC0000007,2024-03-03,16:53:00,Credit,12232.83,Mobile,Investment,11165.25,Failed
TXN00002290,ACC0000008,2022-05-13,10:48:00,Fee,12853.22,Online,Utility,6354.41,Pending
TXN00002190,ACC0000008,2023-03-06,12:17:00,Interest,5115.42,Branch,Investment,6354.41,Failed
TXN00004060,ACC0000008,2023-05-06,15:44:00,Interest,10328.36,Branch,Investment,6354.41,Failed
TXN00000423,ACC0000008,2023-07-11,20:04:00,ATM Withdrawal,9638.26,ATM,Purchase,6354.41,Pending
TXN00003040,ACC0000008,2024-02-26,19:33:00,Interest,7804.21,Branch,Investment,6354.41,Failed
TXN00003560,ACC0000008,2024-07-28,22:06:00,ATM Withdrawal,1893.69,ATM,Rent,6354.41,Failed
TXN00001258,ACC0000008,2024-09-17,20:48:00,Transfer,3850.75,Online,Rent,2503.66,Completed
TXN00004031,ACC0000009,2022-01-03,9:56:00,Debit,5233.96,Mobile,Rent,21849.55,Pending
TXN00002293,ACC0000009,2023-01-04,9:57:00,Fee,9833.64,Branch,Utility,12015.91,Completed
TXN00002434,ACC0000009,2023-09-12,11:57:00,Credit,2798.59,Branch,Refund,12015.91,Pending
TXN00000824,ACC0000009,2023-11-18,8:30:00,ATM Withdrawal,2001.73,ATM,Rent,12015.91,Failed
TXN00003517,ACC0000009,2023-12-25,15:13:00,Debit,7337.01,Mobile,Purchase,4678.9,Completed
TXN00003231,ACC0000009,2024-01-06,22:57:00,Fee,6612.85,Branch,Utility,4678.9,Failed
TXN00000128,ACC0000009,2024-07-04,10:07:00,Transfer,3837.21,Mobile,Investment,4678.9,Failed
TXN00004818,ACC0000009,2024-08-27,13:46:00,Transfer,4318.12,Mobile,Transfer,360.78,Completed
TXN00001229,ACC0000009,2024-10-09,21:15:00,Transfer,14530.07,Wire Transfer,Investment,360.78,Pending
TXN00003406,ACC0000009,2024-12-18,16:23:00,Transfer,1515.56,Online,Investment,360.78,Failed
TXN00004695,ACC0000009,2024-12-20,18:48:00,Interest,6889.45,Branch,Investment,360.78,Pending
TXN00000685,ACC0000010,2023-03-22,8:35:00,Debit,6553.43,POS,Rent,19698.13,Pending
TXN00004972,ACC0000010,2023-11-04,9:12:00,Credit,1853.26,Branch,Salary,19698.13,Pending
TXN00001570,ACC0000010,2023-11-19,14:27:00,ATM Withdrawal,362.54,ATM,Utility,19335.59,Completed
TXN00000161,ACC0000010,2023-11-23,22:02:00,Interest,7521.9,Online,Investment,26857.49,Completed
TXN00000404,ACC0000010,2024-06-09,9:44:00,Fee,9995.77,Mobile,Utility,16861.72,Completed
TXN00003349,ACC0000010,2024-06-10,11:02:00,Debit,7974.99,Mobile,Utility,8886.73,Completed
TXN00001948,ACC0000010,2024-09-19,19:34:00,Transfer,1812.53,Wire Transfer,Rent,8886.73,Failed
TXN00004722,ACC0000010,2024-09-27,17:31:00,ATM Withdrawal,7132.46,ATM,Rent,1754.27,Completed
TXN00003060,ACC0000010,2024-12-26,11:29:00,Fee,5442.2,Mobile,Utility,1754.27,Failed
TXN00000298,ACC0000011,2023-12-27,14:07:00,Transfer,10766.06,Branch,Transfer,1358.54,Failed
TXN00003581,ACC0000011,2023-12-27,8:41:00,Interest,3220.98,Branch,Investment,1358.54,Failed
TXN00001928,ACC0000011,2024-01-28,8:00:00,ATM Withdrawal,8078.08,ATM,Purchase,1358.54,Pending
TXN00000016,ACC0000011,2024-04-16,8:13:00,ATM Withdrawal,97.79,ATM,Purchase,1260.75,Completed
TXN00002361,ACC0000011,2024-04-29,21:42:00,Debit,8903.04,Online,Rent,1260.75,Failed
TXN00001860,ACC0000011,2024-06-01,14:27:00,Fee,13725.64,Branch,Utility,1260.75,Failed
TXN00002021,ACC0000011,2024-08-03,11:22:00,Debit,919.42,Mobile,Utility,341.33,Completed
TXN00001431,ACC0000011,2024-09-18,14:15:00,ATM Withdrawal,4147.19,ATM,Utility,341.33,Failed
TXN00000220,ACC0000011,2024-10-24,19:47:00,Debit,5763.75,POS,Rent,341.33,Failed
TXN00001414,ACC0000011,2024-11-22,22:47:00,Debit,5603.47,Online,Rent,341.33,Pending
TXN00001306,ACC0000011,2024-11-23,8:36:00,ATM Withdrawal,165.82,ATM,Purchase,175.51,Completed
TXN00000882,ACC0000011,2024-12-17,15:44:00,Credit,8724.82,Online,Refund,8900.33,Completed
TXN00002002,ACC0000012,2022-01-04,19:10:00,Debit,4428.29,Mobile,Purchase,10749.04,Failed
TXN00002978,ACC0000012,2022-08-23,11:12:00,Debit,8868.85,Mobile,Rent,10749.04,Pending
TXN00000451,ACC0000012,2023-07-10,10:59:00,Debit,10991.79,Online,Utility,10749.04,Failed
TXN00004838,ACC0000012,2024-12-06,12:20:00,Transfer,5231.94,Branch,Transfer,5517.1,Completed
TXN00004773,ACC0000013,2024-01-25,15:10:00,Fee,7056.81,Mobile,Utility,9223.72,Completed
TXN00001109,ACC0000013,2024-03-03,22:27:00,Credit,7975.37,Online,Refund,17199.09,Completed
TXN00002632,ACC0000013,2024-04-08,15:16:00,Interest,7726.04,Online,Investment,17199.09,Failed
TXN00003414,ACC0000013,2024-11-25,9:06:00,Debit,3188.47,Mobile,Purchase,17199.09,Pending
TXN00003463,ACC0000014,2022-05-22,17:21:00,Credit,14398.56,Online,Salary,33092.94,Pending
TXN00001542,ACC0000014,2022-11-29,10:20:00,ATM Withdrawal,14430.81,ATM,Utility,18662.13,Completed
TXN00002234,ACC0000014,2022-11-30,14:54:00,Credit,6463.6,Mobile,Salary,18662.13,Pending
TXN00001679,ACC0000014,2024-01-25,14:57:00,Interest,12748.46,Online,Investment,18662.13,Pending
TXN00002340,ACC0000014,2024-04-19,21:04:00,Fee,1553.82,Branch,Utility,18662.13,Failed
TXN00000269,ACC0000015,2022-08-09,18:20:00,Debit,10248.2,Online,Utility,41247.04,Pending
TXN00002542,ACC0000015,2022-09-18,13:42:00,Credit,4386.15,Mobile,Investment,45633.19,Completed
TXN00004097,ACC0000015,2022-10-21,12:38:00,Credit,10257.05,Online,Investment,45633.19,Failed
TXN00000951,ACC0000015,2022-11-13,20:44:00,Transfer,2722.7,Wire Transfer,Transfer,42910.49,Completed
TXN00000263,ACC0000015,2023-07-03,19:13:00,Interest,14610.9,Branch,Investment,42910.49,Failed
TXN00002556,ACC0000015,2023-07-20,17:26:00,Interest,1569.61,Branch,Investment,42910.49,Pending
TXN00002627,ACC0000015,2024-07-09,15:11:00,ATM Withdrawal,6890.41,ATM,Purchase,42910.49,Pending
TXN00003459,ACC0000016,2022-10-29,10:32:00,ATM Withdrawal,2841.11,ATM,Rent,57562.78,Completed
TXN00004935,ACC0000016,2023-07-20,11:34:00,Debit,4546.46,POS,Rent,57562.78,Pending
TXN00002689,ACC0000016,2023-08-02,16:03:00,Interest,3106.98,Online,Investment,57562.78,Pending
TXN00002572,ACC0000016,2023-11-07,20:12:00,Debit,294.77,POS,Rent,57562.78,Pending
TXN00002316,ACC0000016,2024-02-23,11:38:00,Transfer,4573.84,Wire Transfer,Investment,52988.94,Completed
TXN00004752,ACC0000016,2024-03-15,16:07:00,Transfer,10307.77,Mobile,Rent,52988.94,Pending
TXN00004989,ACC0000016,2024-03-20,21:20:00,Debit,10462.28,Mobile,Utility,52988.94,Pending
TXN00002898,ACC0000017,2022-08-10,12:24:00,Fee,14537.91,Mobile,Utility,30890.51,Failed
TXN00001007,ACC0000017,2022-11-27,15:29:00,Credit,12328.45,Online,Salary,43218.96,Completed
TXN00004666,ACC0000017,2023-03-25,12:54:00,Credit,9054.09,Online,Investment,43218.96,Failed
TXN00003379,ACC0000017,2023-09-03,10:08:00,Fee,3911.92,Branch,Utility,39307.04,Completed
TXN00002980,ACC0000017,2023-10-15,17:12:00,Interest,5752.44,Online,Investment,45059.48,Completed
TXN00001641,ACC0000017,2024-02-17,12:53:00,ATM Withdrawal,1463.92,ATM,Rent,45059.48,Pending
TXN00002201,ACC0000017,2024-10-13,21:24:00,Interest,5603.77,Branch,Investment,50663.25,Completed
TXN00003513,ACC0000018,2023-08-13,12:05:00,Debit,3079.48,Mobile,Utility,8355.85,Pending
TXN00000025,ACC0000018,2023-10-03,17:01:00,ATM Withdrawal,6648.9,ATM,Rent,8355.85,Pending
TXN00000488,ACC0000018,2023-12-07,17:33:00,ATM Withdrawal,7199.91,ATM,Rent,8355.85,Failed
TXN00001824,ACC0000018,2024-07-09,20:31:00,Transfer,10889.31,Wire Transfer,Investment,8355.85,Pending
TXN00003571,ACC0000019,2022-03-08,16:13:00,Fee,1302.6,Online,Utility,37782.56,Pending
TXN00000201,ACC0000019,2022-04-22,11:53:00,Fee,8596.59,Online,Utility,37782.56,Pending
TXN00000585,ACC0000019,2022-09-20,16:22:00,Credit,14757.91,Online,Investment,37782.56,Failed
TXN00002415,ACC0000019,2023-07-11,18:52:00,Transfer,1855.08,Online,Investment,35927.48,Completed
TXN00004898,ACC0000019,2023-12-16,18:36:00,Interest,4853.11,Branch,Investment,35927.48,Failed
TXN00002489,ACC0000019,2024-04-02,10:39:00,Fee,14577.07,Online,Utility,35927.48,Pending
TXN00002612,ACC0000019,2024-07-14,11:35:00,Debit,6091.32,Mobile,Rent,35927.48,Failed
TXN00000977,ACC0000020,2022-02-10,17:00:00,Interest,4468.95,Online,Investment,13683.95,Failed
TXN00003250,ACC0000020,2022-10-05,15:36:00,Transfer,2413.52,Wire Transfer,Investment,13683.95,Pending
TXN00004710,ACC0000020,2022-11-02,15:15:00,ATM Withdrawal,6772.53,ATM,Purchase,13683.95,Pending
TXN00001843,ACC0000020,2022-12-06,20:01:00,ATM Withdrawal,11171.89,ATM,Rent,13683.95,Failed
TXN00002117,ACC0000020,2022-12-23,20:22:00,Debit,726.29,Online,Utility,12957.66,Completed
TXN00003242,ACC0000020,2023-03-28,20:33:00,Credit,10958.28,Online,Salary,23915.94,Completed
TXN00000014,ACC0000020,2023-04-22,13:21:00,Fee,10977.64,Mobile,Utility,12938.3,Completed
TXN00004460,ACC0000020,2023-11-23,8:48:00,Fee,6792.78,Mobile,Utility,12938.3,Pending
TXN00003160,ACC0000020,2024-02-06,17:54:00,ATM Withdrawal,6657.12,ATM,Utility,6281.18,Completed
TXN00003111,ACC0000020,2024-07-31,9:09:00,Transfer,13097.65,Branch,Investment,6281.18,Pending
TXN00001876,ACC0000020,2024-09-13,16:09:00,Debit,14302.44,Online,Purchase,6281.18,Pending
TXN00001093,ACC0000021,2022-01-04,14:13:00,Fee,9449.85,Mobile,Utility,750.65,Completed
TXN00000106,ACC0000021,2022-06-15,20:32:00,Credit,12228.13,Branch,Investment,750.65,Pending
TXN00002514,ACC0000021,2023-10-13,17:23:00,Fee,364.66,Mobile,Utility,385.99,Completed
TXN00003431,ACC0000021,2023-10-21,12:28:00,Interest,685.46,Branch,Investment,385.99,Pending
TXN00001164,ACC0000021,2024-07-19,11:59:00,Transfer,2826.87,Online,Rent,385.99,Pending
TXN00004799,ACC0000021,2024-10-17,10:16:00,Debit,4393.87,POS,Rent,385.99,Failed
TXN00003110,ACC0000022,2023-06-12,16:51:00,ATM Withdrawal,1361.6,ATM,Utility,50019.9,Completed
TXN00003007,ACC0000022,2023-06-12,16:55:00,Interest,332.14,Online,Investment,50019.9,Failed
TXN00000280,ACC0000022,2024-02-07,10:42:00,Interest,7821.12,Branch,Investment,50019.9,Pending
TXN00003982,ACC0000022,2024-05-25,12:46:00,Debit,1263.12,Mobile,Rent,50019.9,Pending
TXN00000281,ACC0000022,2024-06-08,17:32:00,Fee,835.74,Branch,Utility,49184.16,Completed
TXN00003668,ACC0000022,2024-06-29,11:18:00,Debit,2579.92,POS,Utility,49184.16,Pending
TXN00004840,ACC0000022,2024-10-15,8:12:00,Interest,12730.45,Branch,Investment,61914.61,Completed
TXN00004068,ACC0000023,2022-03-24,18:53:00,Credit,9118.13,Mobile,Investment,6888.54,Failed
TXN00000037,ACC0000023,2023-02-26,8:49:00,Fee,7594.82,Mobile,Utility,6888.54,Failed
TXN00001460,ACC0000023,2023-03-09,9:29:00,Interest,6025.83,Branch,Investment,6888.54,Pending
TXN00000464,ACC0000023,2023-04-12,22:37:00,ATM Withdrawal,2975.48,ATM,Purchase,3913.06,Completed
TXN00003892,ACC0000023,2023-07-07,9:30:00,ATM Withdrawal,3429.39,ATM,Purchase,483.67,Completed
TXN00004339,ACC0000023,2024-06-01,14:53:00,Transfer,14982.02,Online,Investment,483.67,Failed
TXN00002047,ACC0000024,2022-11-20,22:26:00,ATM Withdrawal,14724.86,ATM,Rent,3314.05,Completed
TXN00000893,ACC0000024,2022-12-11,14:59:00,ATM Withdrawal,2520.46,ATM,Utility,3314.05,Failed
TXN00001635,ACC0000024,2023-11-22,20:02:00,Interest,2684.87,Online,Investment,3314.05,Pending
TXN00003439,ACC0000024,2024-06-08,20:37:00,ATM Withdrawal,3309.05,ATM,Rent,5.0,Completed
TXN00003856,ACC0000024,2024-11-02,22:15:00,Credit,7959.79,Online,Investment,5.0,Pending
TXN00003196,ACC0000024,2024-12-16,14:06:00,Transfer,7750.49,Mobile,Rent,5.0,Failed
TXN00000438,ACC0000025,2022-04-02,11:39:00,Transfer,6581.8,Online,Rent,25106.11,Completed
TXN00003305,ACC0000025,2022-04-13,12:01:00,Transfer,11526.76,Online,Investment,13579.35,Completed
TXN00001138,ACC0000025,2022-08-06,16:05:00,Interest,10522.58,Online,Investment,13579.35,Pending
TXN00003650,ACC0000025,2022-08-30,18:05:00,ATM Withdrawal,12961.24,ATM,Purchase,13579.35,Pending
TXN00003265,ACC0000025,2023-01-15,22:37:00,Debit,14246.62,POS,Rent,13579.35,Pending
TXN00004803,ACC0000025,2023-09-09,8:01:00,Debit,13405.0,Online,Purchase,13579.35,Failed
TXN00004698,ACC0000025,2024-04-20,17:35:00,ATM Withdrawal,5388.42,ATM,Rent,8190.93,Completed
TXN00002780,ACC0000025,2024-05-02,21:33:00,Interest,2725.99,Branch,Investment,8190.93,Pending
TXN00003937,ACC0000025,2024-10-06,13:27:00,Credit,5228.45,Online,Refund,13419.38,Completed
TXN00003246,ACC0000026,2022-02-16,18:09:00,Credit,7316.33,Mobile,Refund,15202.82,Pending
TXN00004178,ACC0000026,2022-10-03,8:43:00,Credit,11169.67,Online,Investment,15202.82,Pending
TXN00002656,ACC0000026,2022-11-16,12:14:00,ATM Withdrawal,14491.13,ATM,Utility,15202.82,Pending
TXN00001712,ACC0000026,2022-12-04,12:06:00,ATM Withdrawal,11601.23,ATM,Purchase,15202.82,Pending
TXN00003772,ACC0000026,2023-06-07,21:35:00,ATM Withdrawal,6519.9,ATM,Utility,15202.82,Pending
TXN00002020,ACC0000026,2023-08-11,16:08:00,ATM Withdrawal,10860.96,ATM,Purchase,15202.82,Failed
TXN00003421,ACC0000026,2023-11-06,12:28:00,Credit,7181.35,Mobile,Investment,15202.82,Pending
TXN00004403,ACC0000026,2023-12-09,17:18:00,Fee,9616.89,Branch,Utility,15202.82,Pending
TXN00001087,ACC0000026,2023-12-21,13:48:00,ATM Withdrawal,1693.92,ATM,Rent,15202.82,Failed
TXN00000098,ACC0000027,2022-01-29,20:10:00,Credit,2508.12,Mobile,Refund,5963.79,Completed
TXN00003618,ACC0000027,2022-04-19,19:20:00,Debit,11730.51,Mobile,Rent,5963.79,Failed
TXN00004409,ACC0000027,2022-05-15,17:40:00,Interest,13485.37,Branch,Investment,19449.16,Completed
TXN00004649,ACC0000027,2023-01-26,16:46:00,Fee,7736.13,Branch,Utility,19449.16,Failed
TXN00001906,ACC0000027,2023-04-13,19:40:00,Fee,8663.56,Mobile,Utility,10785.6,Completed
TXN00000799,ACC0000027,2023-06-25,18:56:00,ATM Withdrawal,10799.27,ATM,Utility,10785.6,Failed
TXN00003925,ACC0000027,2023-07-23,10:23:00,Fee,4926.61,Mobile,Utility,10785.6,Pending
TXN00001167,ACC0000027,2023-09-27,12:24:00,Debit,11403.78,Mobile,Rent,10785.6,Pending
TXN00003452,ACC0000027,2024-01-19,17:28:00,Credit,11096.52,Online,Salary,10785.6,Failed
TXN00001128,ACC0000027,2024-11-15,9:21:00,Interest,13391.29,Online,Investment,24176.89,Completed
TXN00001111,ACC0000028,2022-07-26,18:52:00,Debit,11095.21,POS,Utility,10263.08,Pending
TXN00002804,ACC0000028,2023-01-17,14:07:00,ATM Withdrawal,9252.52,ATM,Rent,10263.08,Failed
TXN00002499,ACC0000028,2023-06-16,17:10:00,ATM Withdrawal,13331.74,ATM,Rent,10263.08,Failed
TXN00004126,ACC0000028,2023-08-03,22:54:00,Transfer,14143.68,Branch,Rent,10263.08,Pending
TXN00000787,ACC0000028,2023-12-03,12:14:00,Fee,1728.52,Mobile,Utility,8534.56,Completed
TXN00003880,ACC0000028,2024-01-08,16:28:00,Transfer,3747.63,Online,Investment,4786.93,Completed
TXN00002824,ACC0000028,2024-03-13,10:30:00,Debit,13750.77,Online,Purchase,4786.93,Failed
TXN00004109,ACC0000028,2024-09-01,20:07:00,Transfer,8051.45,Mobile,Transfer,4786.93,Failed
TXN00003871,ACC0000029,2023-06-13,17:29:00,Credit,5782.38,Mobile,Investment,22441.01,Pending
TXN00003827,ACC0000029,2023-07-08,15:53:00,Transfer,4225.86,Online,Rent,22441.01,Pending
TXN00000507,ACC0000029,2023-09-13,8:07:00,Debit,2362.86,Mobile,Rent,22441.01,Pending
TXN00000605,ACC0000029,2024-03-27,20:45:00,Debit,6638.2,POS,Utility,15802.81,Completed
TXN00002973,ACC0000029,2024-04-26,9:05:00,ATM Withdrawal,13382.17,ATM,Purchase,15802.81,Failed
TXN00000760,ACC0000029,2024-05-04,16:52:00,ATM Withdrawal,820.79,ATM,Purchase,14982.02,Completed
TXN00002036,ACC0000030,2023-06-26,8:19:00,Transfer,2548.07,Online,Investment,38102.58,Completed
TXN00002161,ACC0000030,2023-11-22,19:18:00,Fee,5341.05,Online,Utility,38102.58,Failed
TXN00001194,ACC0000030,2024-01-24,8:25:00,Fee,9613.52,Mobile,Utility,38102.58,Pending
TXN00004194,ACC0000030,2024-04-08,19:55:00,Fee,420.27,Branch,Utility,38102.58,Pending
TXN00001935,ACC0000031,2023-02-19,21:36:00,Credit,6259.57,Branch,Salary,12076.22,Completed
TXN00002168,ACC0000031,2023-03-09,13:20:00,Interest,12100.03,Online,Investment,24176.25,Completed
TXN00003356,ACC0000031,2023-03-10,10:17:00,Fee,7550.95,Mobile,Utility,24176.25,Pending
TXN00001173,ACC0000031,2023-12-24,16:16:00,Debit,386.02,POS,Utility,24176.25,Pending
TXN00000483,ACC0000031,2024-05-02,8:29:00,Credit,12325.23,Branch,Investment,24176.25,Pending
TXN00003740,ACC0000031,2024-05-19,10:22:00,ATM Withdrawal,3690.49,ATM,Utility,24176.25,Failed
TXN00001639,ACC0000031,2024-08-07,22:47:00,Fee,8427.67,Online,Utility,15748.58,Completed
TXN00004276,ACC0000031,2024-11-24,21:13:00,Debit,12685.4,Mobile,Purchase,3063.18,Completed
TXN00000371,ACC0000032,2023-12-28,10:45:00,Debit,9746.4,Mobile,Rent,54457.23,Completed
TXN00000646,ACC0000032,2024-03-04,18:40:00,Interest,12613.66,Branch,Investment,67070.89,Completed
TXN00004016,ACC0000032,2024-04-08,12:42:00,Credit,6657.26,Online,Refund,73728.15,Completed
TXN00001370,ACC0000032,2024-06-09,17:43:00,Debit,9182.39,Mobile,Purchase,73728.15,Failed
TXN00003428,ACC0000032,2024-06-12,22:37:00,Interest,3245.0,Branch,Investment,73728.15,Pending
TXN00002443,ACC0000032,2024-09-01,18:31:00,Interest,5565.41,Branch,Investment,79293.56,Completed
TXN00000320,ACC0000032,2024-09-24,14:11:00,Interest,5177.79,Online,Investment,84471.35,Completed
TXN00001122,ACC0000032,2024-10-11,17:03:00,ATM Withdrawal,3341.04,ATM,Purchase,81130.31,Completed
TXN00004886,ACC0000033,2022-05-30,10:46:00,ATM Withdrawal,12398.25,ATM,Purchase,4633.52,Failed
TXN00001400,ACC0000033,2022-10-19,11:11:00,Interest,10972.28,Branch,Investment,4633.52,Failed
TXN00002432,ACC0000033,2022-10-20,11:42:00,Interest,7352.67,Online,Investment,4633.52,Pending
TXN00003525,ACC0000033,2023-01-23,13:31:00,Debit,3140.04,Online,Rent,1493.48,Completed
TXN00001482,ACC0000033,2023-03-06,22:33:00,Fee,52.2,Online,Utility,1441.28,Completed
TXN00001466,ACC0000033,2023-03-26,11:58:00,Interest,9183.65,Branch,Investment,1441.28,Pending
TXN00002066,ACC0000033,2023-12-14,21:47:00,Transfer,1137.8,Branch,Investment,303.48,Completed
TXN00004770,ACC0000033,2024-02-16,13:25:00,Credit,14457.29,Branch,Salary,14760.77,Completed
TXN00002672,ACC0000033,2024-02-26,22:53:00,Credit,798.5,Mobile,Investment,14760.77,Failed
TXN00003119,ACC0000033,2024-04-17,10:34:00,Debit,9037.93,POS,Rent,14760.77,Failed
TXN00002286,ACC0000034,2022-02-23,12:59:00,Interest,7509.31,Branch,Investment,22830.45,Failed
TXN00002756,ACC0000034,2023-03-11,17:08:00,ATM Withdrawal,12495.98,ATM,Purchase,10334.47,Completed
TXN00002137,ACC0000034,2023-06-18,17:09:00,Interest,2448.41,Branch,Investment,10334.47,Pending
TXN00004731,ACC0000034,2023-08-01,17:04:00,Fee,9986.89,Branch,Utility,10334.47,Pending
TXN00004660,ACC0000034,2023-10-10,12:50:00,Debit,8871.36,POS,Purchase,1463.11,Completed
TXN00004638,ACC0000034,2024-02-17,16:24:00,Debit,6247.57,Online,Purchase,1463.11,Pending
TXN00000632,ACC0000034,2024-03-12,16:12:00,ATM Withdrawal,11804.54,ATM,Rent,1463.11,Pending
TXN00002115,ACC0000034,2024-03-25,17:06:00,Interest,9243.15,Online,Investment,1463.11,Pending
TXN00004684,ACC0000034,2024-12-08,19:20:00,Interest,12191.92,Branch,Investment,1463.11,Failed
TXN00001204,ACC0000035,2022-11-12,19:41:00,Fee,6246.83,Mobile,Utility,1570.99,Pending
TXN00004541,ACC0000035,2022-12-16,12:47:00,Transfer,10546.45,Online,Transfer,1570.99,Failed
TXN00004255,ACC0000035,2023-01-04,14:41:00,Debit,1425.77,Online,Rent,1570.99,Pending
TXN00000053,ACC0000035,2023-02-15,11:59:00,Fee,12306.55,Online,Utility,1570.99,Failed
